Name,Team,x,Position,y,Height,z,College,Salary
Avery Bradley,Boston Celtics,-1.109131339845746,PG,-0.440213445396932,6-2,-1.5770167840773595,Texas,0.5588067775633135
Jae Crowder,Boston Celtics,5.097240770642446,SF,-0.440213445396932,6-6,0.5108085583785557,Marquette,0.3787902204833014
John Holland,Boston Celtics,0.7715874815143121,SG,0.014392547820192683,6-5,-0.6280052647792163,Boston University,-0.1653211053974095
R.J. Hunter,Boston Celtics,0.6462062267569749,SG,-1.1221224352226191,6-5,-1.3872144802177309,Georgia State,-0.7094324312781204
Jonas Jerebko,Boston Celtics,-0.6076063208163972,PF,0.4689985410373174,6-10,0.3589667152908527,,0.0326931572081841
Amir Johnson,Boston Celtics,4.533025124234428,PF,0.4689985410373174,6-9,0.7006108622381843,,1.3815359346696865
Jordan Mickey,Boston Celtics,2.338853165981027,PF,-1.3494254318311814,6-8,0.5108085583785557,LSU,-0.7051315497362717
Kelly Olynyk,Boston Celtics,1.4611843826796669,C,-0.440213445396932,7-0,0.6246899406943328,Gonzaga,-0.513557336971668
Terry Rozier,Boston Celtics,-0.35684381130172277,PG,-1.1221224352226191,6-2,-1.1974121763581023,Louisville,-0.579226711051508
Marcus Smart,Boston Celtics,1.1477312457863238,PG,-1.1221224352226191,6-4,-0.05859835320033033,Oklahoma State,-0.26963260909553
Jared Sullinger,Boston Celtics,-0.6702969481950658,C,-0.6675164420054944,6-9,1.459820077676699,Ohio State,-0.43569057034706904
Isaiah Thomas,Boston Celtics,-0.8583688303310716,PG,0.014392547820192683,5-9,-1.3872144802177309,Washington,0.40128737647675644
Evan Turner,Boston Celtics,-0.41953443868039136,SG,0.014392547820192683,6-7,-0.05859835320033033,Ohio State,-0.2706981948897246
James Young,Boston Celtics,-0.2941531839230542,SG,-1.5767284284397438,6-6,-0.24840065705995898,Kentucky,-0.5935861058767126
Tyler Zeller,Boston Celtics,1.6492562648156726,C,-0.21291044878836968,7-0,1.1940968522732187,North Carolina,-0.4264962799004154
Bojan Bogdanovic,Brooklyn Nets,1.6492562648156726,SG,0.014392547820192683,6-8,-0.21044019628803326,,-0.2706981948897246
Markel Brown,Brooklyn Nets,0.2700624624849633,SG,-0.6675164420054944,6-3,-1.1974121763581023,Oklahoma State,-0.7679300083101976
Wayne Ellington,Brooklyn Nets,0.20737183510629467,SG,0.24169554442875504,6-4,-0.817807568638845,North Carolina,-0.6417282315225671
Rondae Hollis-Jefferson,Brooklyn Nets,0.3954437172423005,SG,-1.3494254318311814,6-7,-0.05859835320033033,Arizona,-0.6734298906294194
Jarrett Jack,Brooklyn Nets,-0.9837500850884089,PG,1.1509075308630046,6-3,-0.817807568638845,Georgia Tech,0.28319253016532026
Sergey Karasev,Brooklyn Nets,-0.48222506605906,SG,-1.1221224352226191,6-7,-0.5141238824634391,,-0.622489879679459
Sean Kilpatrick,Brooklyn Nets,-0.7329875755737344,SG,-0.21291044878836968,6-4,-0.09655881397225606,Cincinnati,-0.904903836210461
Shane Larkin,Brooklyn Nets,-1.109131339845746,PG,-0.8948194386140568,5-11,-1.7668190879369883,Miami (FL),-0.6417282315225671
Brook Lopez,Brooklyn Nets,-0.41953443868039136,C,0.24169554442875504,7-0,2.029226989255585,Stanford,2.863143379798471
Chris McCullough,Brooklyn Nets,-1.0464407124670774,PF,-1.3494254318311814,6-11,-0.817807568638845,Syracuse,-0.7110510426110742
Willie Reed,Brooklyn Nets,0.959659363650318,PF,-0.21291044878836968,6-10,-0.05859835320033033,Saint Louis,-0.7482336279982287
