Name,Team,x,Position,y,Height,z,College,Salary
Avery Bradley,Boston Celtics,-1.109131339845746,PG,-0.440213445396932,6-2,-1.5770167840773597,Texas,0.5588067775633135
Jae Crowder,Boston Celtics,5.097240770642446,SF,-0.440213445396932,6-6,0.5108085583785557,Marquette,0.3787902204833014
John Holland,Boston Celtics,0.7715874815143121,SG,0.0143925478201926,6-5,-0.6280052647792163,Boston University,-0.1653211053974095
R.J. Hunter,Boston Celtics,0.6462062267569749,SG,-1.1221224352226191,6-5,-1.3872144802177309,Georgia State,-0.7094324312781204
Jonas Jerebko,Boston Celtics,-0.6076063208163972,PF,0.4689985410373174,6-10,0.3589667152908527,,0.0326931572081841
Amir Johnson,Boston Celtics,4.533025124234428,PF,0.4689985410373174,6-9,0.7006108622381843,,1.3815359346696865
Jordan Mickey,Boston Celtics,2.338853165981027,PF,-1.3494254318311814,6-8,0.5108085583785557,LSU,-0.7051315497362717
Kelly Olynyk,Boston Celtics,1.4611843826796669,C,-0.440213445396932,7-0,0.6246899406943328,Gonzaga,-0.513557336971668
Terry Rozier,Boston Celtics,-0.3568438113017227,PG,-1.1221224352226191,6-2,-1.1974121763581025,Louisville,-0.579226711051508
Marcus Smart,Boston Celtics,1.1477312457863238,PG,-1.1221224352226191,6-4,-0.0585983532003303,Oklahoma State,-0.26963260909553
Jared Sullinger,Boston Celtics,-0.6702969481950658,C,-0.6675164420054944,6-9,1.459820077676699,Ohio State,-0.435690570347069
Isaiah Thomas,Boston Celtics,-0.8583688303310716,PG,0.0143925478201926,5-9,-1.3872144802177309,Washington,0.4012873764767564
Evan Turner,Boston Celtics,-0.4195344386803913,SG,0.0143925478201926,6-7,-0.0585983532003303,Ohio State,-0.2706981948897246
James Young,Boston Celtics,-0.2941531839230542,SG,-1.5767284284397438,6-6,-0.2484006570599589,Kentucky,-0.5935861058767126
Tyler Zeller,Boston Celtics,1.6492562648156726,C,-0.2129104487883696,7-0,1.1940968522732187,North Carolina,-0.4264962799004154
Bojan Bogdanovic,Brooklyn Nets,1.6492562648156726,SG,0.0143925478201926,6-8,-0.2104401962880332,,-0.2706981948897246
