city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z,cluster
Sydney,-0.2971978649580147,0.6380490186149377,Australia,AU,New South Wales,admin,20.773757135760366,20.7390716814777,35.952679138227026,1.682053454870857,-0.15697911504134776,2
Melbourne,-0.9537383814516714,-0.0217595709827277,Australia,AU,Victoria,admin,19.854597893316253,19.40011935221179,34.16811085457117,0.29815901050827,-0.20029492177766353,2
Brisbane,0.7664755869270135,0.8301617704682397,Australia,AU,Queensland,admin,9.781799799287594,10.063782512510592,17.039691850738457,2.2318730428395583,0.3139858660394891,4
Perth,0.02084668246362,-3.0960917601776745,Australia,AU,Western Australia,admin,7.995495112621192,8.682044824500766,14.286522446219392,-2.5636656173280516,3.411169902478511,4
Adelaide,-0.4740943486478287,-0.693789772385214,Australia,AU,South Australia,admin,5.191672462507674,5.482133826504638,9.194696339251832,-0.828818014393713,0.4122560794420686,4
Gold Coast,0.6752090394156505,0.8694462772116525,Australia,AU,Queensland,,2.572714865485118,2.651766785099412,4.446324444270703,1.712590303638439,-0.08937000556636021,1
Canberra,-0.5346505093394642,0.418070569319014,Australia,AU,Australian Capital Territory,primary,1.5810623739029914,1.5473699815176332,2.7425728081257312,-0.010089651691202487,-0.8948202891925808,0
Newcastle,-0.1395223921851491,0.695153628309718,Australia,AU,New South Wales,,1.1708212188340987,0.5639049765463123,1.6740029157739817,0.6230523711318724,-0.7966452449249285,0
Wollongong,-0.3916568295074872,0.6035813268957276,Australia,AU,New South Wales,,1.09406158111082,1.1503239182600349,1.9400063881697518,0.28910776511540026,-0.952729480333629,0
Geelong,-1.0096721883068769,-0.0865224940383496,Australia,AU,Victoria,,0.9390455339782722,0.7294168723169645,1.5654119591778581,-1.034601216122413,-0.8964708790413894,0
Hobart,-1.7962371904151924,0.2277324335272577,Australia,AU,Tasmania,admin,0.8489328071193456,0.8624771430067264,1.5793342306789817,-1.5017177059935751,-2.0001847724018598,0
Townsville,2.13179919456922,0.1742087455281007,Australia,AU,Queensland,,0.615098570128456,0.6743653157639582,0.9712780061674071,2.3351413217163843,1.9931792519007903,1
Ipswich,0.7417177277095931,0.8025495896058354,Australia,AU,Queensland,,0.5450920833978748,0.6070131299694155,0.9231981002847652,1.5806227609281958,-0.032037030854304,1
Cairns,2.5185638441705707,0.0635065054982662,Australia,AU,Queensland,,0.5047421044298727,0.5371947928258873,0.7438120204015504,2.600652293669063,2.4876206749549494,1
Toowoomba,0.750031313746336,0.7162800099947997,Australia,AU,Queensland,,0.4424041172558624,0.4892188956406506,0.7375795811318578,1.495225562382292,0.058137662956303265,1
Darwin,3.265489668055696,-1.5134933817664291,Australia,AU,Northern Territory,admin,0.4422744756137687,0.4943706987204683,0.6281832253902366,1.7539075980562924,4.805961638549332,1
Ballarat,-0.9099091558659624,-0.1393384482510568,Australia,AU,Victoria,,0.319087415882521,0.3295947748183615,0.6140878031074297,-1.0238738878116895,-0.7638113164439752,0
Bendigo,-0.7768917792780772,-0.0953216320101875,Australia,AU,Victoria,,0.2941451496506209,0.3168723605293546,0.5694544195974739,-0.8487386321688398,-0.6746883460204989,0
Launceston,-1.5570220657939529,0.2087186900106853,Australia,AU,Tasmania,,0.2478120124732653,0.281326210457329,0.5364101631429661,-1.3213026220302853,-1.763034782069354,0
Mackay,1.8184268825002337,0.4243239782977989,Australia,AU,Queensland,,0.2196051339813701,-0.0787792297141576,0.09461983297649465,2.242268179149254,1.4095573537364738,1
Rockhampton,1.4469924855506369,0.5643496361065262,Australia,AU,Queensland,,0.2134923341299231,0.2437270862256768,0.29322011140325055,2.0202255954484456,0.9011089241694261,1
Maitland,-0.1062680480381784,0.6740272466246363,Australia,AU,New South Wales,,0.2112255696605884,-0.086414399859184,0.18950119522997796,0.5795170399169971,-0.7738666622707783,0
Bunbury,-0.208791191043291,-3.119922318718448,Australia,AU,Western Australia,,0.196878561268889,0.2114390104489077,0.41097904536512325,-3.331590322640236,2.9030775166070693,3
Coffs Harbour,0.2951950216761346,0.8397531477532675,Australia,AU,New South Wales,,0.1868961548276765,0.0163074749160955,0.19450691027221972,1.1462971197971932,-0.5344668579311277,1
Bundaberg,1.2017416974667223,0.758532773364966,Australia,AU,Queensland,,0.1833565451450585,0.2090718494682061,0.24974786287334944,1.9696409072599521,0.4601311772615017,1
