city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z
Sydney,-0.2971978649580141,0.6380490186149356,Australia,AU,New South Wales,admin,20.773757135760366,20.7390716814777,-0.2971978649580141,0.6380490186149356,20.773757135760366
Melbourne,-0.9537383814516708,-0.0217595709827298,Australia,AU,Victoria,admin,19.854597893316253,19.40011935221179,-0.9537383814516708,-0.0217595709827298,19.854597893316253
Brisbane,0.7664755869270141,0.8301617704682376,Australia,AU,Queensland,admin,9.781799799287594,10.063782512510592,0.7664755869270141,0.8301617704682376,9.781799799287594
Perth,0.0208466824636207,-3.0960917601776767,Australia,AU,Western Australia,admin,7.995495112621192,8.682044824500766,0.0208466824636207,-3.0960917601776767,7.995495112621192
Adelaide,-0.474094348647828,-0.6937897723852161,Australia,AU,South Australia,admin,5.191672462507674,5.482133826504638,-0.474094348647828,-0.6937897723852161,5.191672462507674
Gold Coast,0.6752090394156511,0.8694462772116504,Australia,AU,Queensland,,2.572714865485118,2.651766785099412,0.6752090394156511,0.8694462772116504,2.572714865485118
Canberra,-0.5346505093394636,0.4180705693190119,Australia,AU,Australian Capital Territory,primary,1.5810623739029914,1.5473699815176332,-0.5346505093394636,0.4180705693190119,1.5810623739029914
Newcastle,-0.1395223921851485,0.6951536283097159,Australia,AU,New South Wales,,1.1708212188340987,0.5639049765463123,-0.1395223921851485,0.6951536283097159,1.1708212188340987
Wollongong,-0.3916568295074866,0.6035813268957255,Australia,AU,New South Wales,,1.09406158111082,1.1503239182600349,-0.3916568295074866,0.6035813268957255,1.09406158111082
Geelong,-1.0096721883068762,-0.0865224940383517,Australia,AU,Victoria,,0.9390455339782722,0.7294168723169645,-1.0096721883068762,-0.0865224940383517,0.9390455339782722
Hobart,-1.7962371904151917,0.2277324335272557,Australia,AU,Tasmania,admin,0.8489328071193456,0.8624771430067264,-1.7962371904151917,0.2277324335272557,0.8489328071193456
Townsville,2.1317991945692203,0.1742087455280987,Australia,AU,Queensland,,0.615098570128456,0.6743653157639582,2.1317991945692203,0.1742087455280987,0.615098570128456
Ipswich,0.7417177277095938,0.8025495896058333,Australia,AU,Queensland,,0.5450920833978748,0.6070131299694155,0.7417177277095938,0.8025495896058333,0.5450920833978748
Cairns,2.518563844170571,0.0635065054982641,Australia,AU,Queensland,,0.5047421044298727,0.5371947928258873,2.518563844170571,0.0635065054982641,0.5047421044298727
Toowoomba,0.7500313137463367,0.7162800099947976,Australia,AU,Queensland,,0.4424041172558624,0.4892188956406507,0.7500313137463367,0.7162800099947976,0.4424041172558624
Darwin,3.2654896680556966,-1.5134933817664311,Australia,AU,Northern Territory,admin,0.4422744756137687,0.4943706987204684,3.2654896680556966,-1.5134933817664311,0.4422744756137687
Ballarat,-0.9099091558659618,-0.1393384482510589,Australia,AU,Victoria,,0.319087415882521,0.3295947748183616,-0.9099091558659618,-0.1393384482510589,0.319087415882521
Bendigo,-0.7768917792780765,-0.0953216320101896,Australia,AU,Victoria,,0.2941451496506209,0.3168723605293547,-0.7768917792780765,-0.0953216320101896,0.2941451496506209
Launceston,-1.5570220657939522,0.2087186900106833,Australia,AU,Tasmania,,0.2478120124732654,0.2813262104573291,-1.5570220657939522,0.2087186900106833,0.2478120124732654
Mackay,1.8184268825002343,0.4243239782977968,Australia,AU,Queensland,,0.2196051339813702,-0.0787792297141576,1.8184268825002343,0.4243239782977968,0.2196051339813702
Rockhampton,1.4469924855506375,0.5643496361065241,Australia,AU,Queensland,,0.2134923341299232,0.2437270862256769,1.4469924855506375,0.5643496361065241,0.2134923341299232
Maitland,-0.1062680480381778,0.6740272466246342,Australia,AU,New South Wales,,0.2112255696605885,-0.086414399859184,-0.1062680480381778,0.6740272466246342,0.2112255696605885
Bunbury,-0.2087911910432904,-3.11992231871845,Australia,AU,Western Australia,,0.1968785612688891,0.2114390104489078,-0.2087911910432904,-3.11992231871845,0.1968785612688891
Coffs Harbour,0.2951950216761353,0.8397531477532654,Australia,AU,New South Wales,,0.1868961548276766,0.0163074749160956,0.2951950216761353,0.8397531477532654,0.1868961548276766
Bundaberg,1.201741697466723,0.7585327733649639,Australia,AU,Queensland,,0.1833565451450586,0.2090718494682062,1.201741697466723,0.7585327733649639,0.1833565451450586
Wagga Wagga,-0.5056859755874505,0.2323696743071322,Australia,AU,New South Wales,,0.1264752925428091,0.1396537777268695,-0.5056859755874505,0.2323696743071322,0.1264752925428091
Hervey Bay,1.12936361743084,0.8137571350897725,Australia,AU,Queensland,,0.1195296433542756,0.1407857110685504,1.12936361743084,0.8137571350897725,0.1195296433542756
Shepparton,-0.7159199392846042,0.0243910098083346,Australia,AU,Victoria,,0.1075751125393958,0.0397423686250409,-0.7159199392846042,0.0243910098083346,0.1075751125393958
Albury,-0.6655894894181626,0.1845078565995762,Australia,AU,New South Wales,,0.0932084614746519,-0.0738512309452426,-0.6655894894181626,0.1845078565995762,0.0932084614746519
Port Macquarie,0.1071250783529384,0.8166303229989431,Australia,AU,New South Wales,,0.093204532940043,0.0984178334430485,0.1071250783529384,0.8166303229989431,0.093204532940043
Pakenham,-0.9965699767129692,0.0336654913680846,Australia,AU,Victoria,,0.0871074472270317,0.1052653845708597,-0.9965699767129692,0.0336654913680846,0.0871074472270317
Tamworth,0.1653201806101381,0.6071305590188172,Australia,AU,New South Wales,,0.0731650779000489,-0.0937525988993588,0.1653201806101381,0.6071305590188172,0.0731650779000489
Caloundra,0.8777446224427805,0.8408094668375186,Australia,AU,Queensland,,0.0669619217525973,0.0831948363726096,0.8777446224427805,0.8408094668375186,0.0669619217525973
Orange,-0.2004776050065468,0.4152290709823669,Australia,AU,New South Wales,,0.0638190940654781,0.0694394791102057,-0.2004776050065468,0.4152290709823669,0.0638190940654781
Dubbo,-0.0298163108442902,0.3625293118689285,Australia,AU,New South Wales,,0.0555652428521812,0.0707091381816729,-0.0298163108442902,0.3625293118689285,0.0555652428521812
Geraldton,0.5492249566148499,-3.228131645709445,Australia,AU,Western Australia,,0.0526424131031603,0.0675070149641421,0.5492249566148499,-3.228131645709445,0.0526424131031603
Nowra,-0.4665123581823184,0.5736769336204887,Australia,AU,New South Wales,,0.0517467072123313,-0.0549612863192442,-0.4665123581823184,0.5736769336204887,0.0517467072123313
Bathurst,-0.2232069492310026,0.4656999968280302,Australia,AU,New South Wales,,0.0493149442894228,0.0561962894054445,-0.2232069492310026,0.4656999968280302,0.0493149442894228
Queanbeyan,-0.5446600669277011,0.4294048730930568,Australia,AU,New South Wales,,0.0475353181115915,-0.0676837006082511,-0.5446600669277011,0.4294048730930568,0.0475353181115915
Frankston,-1.0110023620727555,-0.0036014459244017,Australia,AU,Victoria,,0.0465492559247578,0.0608316209985637,-1.0110023620727555,-0.0036014459244017,0.0465492559247578
Sunbury,-0.915080206380816,-0.0480830425623433,Australia,AU,Victoria,,0.0464981849748421,0.0607756699208381,-0.915080206380816,-0.0480830425623433,0.0464981849748421
Warrnambool,-1.0484633807543184,-0.2837055774960708,Australia,AU,Victoria,,0.0430803598651,0.0331315335952998,-1.0484633807543184,-0.2837055774960708,0.0430803598651
Wodonga,-0.6723733756241456,0.1815818527361942,Australia,AU,Victoria,,0.0427503629579524,-0.0129764583797104,-0.6723733756241456,0.1815818527361942,0.0427503629579524
Albany,-0.4897072632248307,-2.8824512253872765,Australia,AU,Western Australia,,0.0391164684447208,0.0318920020272234,-0.4897072632248307,-2.8824512253872765,0.0391164684447208
Gladstone,1.3681963170943885,0.6436580729523251,Australia,AU,Queensland,,0.0360247117075173,0.0493013950580193,1.3681963170943885,0.6436580729523251,0.0360247117075173
Mildura,-0.3510532753040334,-0.3180359477343323,Australia,AU,Victoria,,0.0333533081734659,0.046374723300061,-0.3510532753040334,-0.3180359477343323,0.0333533081734659
Southport,0.6835226254523941,0.8694462772116504,Australia,AU,Queensland,,0.0300926244480797,0.0428024621837296,0.6835226254523941,0.8694462772116504,0.0300926244480797
Dandenong,-0.981572267502686,0.0048491067496327,Australia,AU,Victoria,,0.0222276981610638,0.034185996213976,-0.981572267502686,0.0048491067496327,0.0222276981610638
Kalgoorlie,0.2209214440238747,-2.503824212827221,Australia,AU,Western Australia,,0.0220037716883565,0.0339406722577942,0.2209214440238747,-2.503824212827221,0.0220037716883565
Mount Gambier,-0.9563654746392812,-0.4633326377734887,Australia,AU,South Australia,,0.0211787794204877,0.0152745319426985,-0.9563654746392812,-0.4633326377734887,0.0211787794204877
Lismore,0.5421916628277653,0.8571190334984036,Australia,AU,New South Wales,,0.0175684561149095,-0.0791235440386233,0.5421916628277653,0.8571190334984036,0.0175684561149095
Maryborough,1.0874298894615086,0.7957046419398673,Australia,AU,Queensland,,0.0119192233473126,-0.0282209750954284,1.0874298894615086,0.7957046419398673,0.0119192233473126
Quakers Hill,-0.2754827782300415,0.603137672880336,Australia,AU,New South Wales,,0.011125659356315,0.0220230927022258,-0.2754827782300415,0.603137672880336,0.011125659356315
Gawler,-0.4190916634287379,-0.6785893407627988,Australia,AU,South Australia,,0.0087371103141044,-0.091729752243123,-0.4190916634287379,-0.6785893407627988,0.0087371103141044
Caboolture,0.8331671741137653,0.8237076608634467,Australia,AU,Queensland,,0.0085838974643573,0.0192384506031097,0.8331671741137653,0.8237076608634467,0.0085838974643573
Ballina,0.5394315522635666,0.8835270106047571,Australia,AU,New South Wales,,0.0083796136646946,-0.0815165285936597,0.5394315522635666,0.8835270106047571,0.0083796136646946
Taree,0.0295260662859807,0.7690959642075048,Australia,AU,New South Wales,,0.0083796136646946,-0.024816567212274,0.0295260662859807,0.7690959642075048,0.0083796136646946
Traralgon,-1.0172874331165327,0.1448430749858343,Australia,AU,Victoria,,0.004859646655121,0.0127825570193782,-1.0172874331165327,0.1448430749858343,0.004859646655121
Busselton,-0.2610836472144022,-3.1502914923907577,Australia,AU,Western Australia,,0.0042467952561328,0.0144869129254833,-0.2610836472144022,-3.1502914923907577,0.0042467952561328
Armidale,0.2623064753147804,0.6845904374671751,Australia,AU,New South Wales,,0.0010057542037911,0.010936171454431,0.2623064753147804,0.6845904374671751,0.0010057542037911
Goulburn,-0.445129814895816,0.470009778691786,Australia,AU,New South Wales,,-0.0016224354495623,0.0019624793730442,-0.445129814895816,0.470009778691786,-0.0016224354495623
Alice Springs,1.392954176311809,-1.1938934796344978,Australia,AU,Northern Territory,,-0.0020506457219323,0.0075877146490022,1.392954176311809,-1.1938934796344978,-0.0020506457219323
Devonport,-1.5135752651659342,0.124361047942145,Australia,AU,Tasmania,,-0.0047220492559837,0.0046610428910439,-1.5135752651659342,0.124361047942145,-0.0047220492559837
Bacchus Marsh,-0.9306931209578188,-0.0771318173793328,Australia,AU,Victoria,,-0.0079552332391076,-0.0670079837464872,-0.9306931209578188,-0.0771318173793328,-0.0079552332391076
Whyalla,-0.1589096748228325,-0.8030554184604654,Australia,AU,South Australia,,-0.009844858385988,-0.0009512805977465,-0.1589096748228325,-0.8030554184604654,-0.009844858385988
Cessnock,-0.1258049752245234,0.6534818404358905,Australia,AU,New South Wales,,-0.0099116434743393,-0.0292065748492114,-0.1258049752245234,0.6534818404358905,-0.0099116434743393
Gympie,0.9789375916820144,0.7918596404731838,Australia,AU,Queensland,,-0.0104066388350606,-0.0480319605393724,0.9789375916820144,0.7918596404731838,-0.0104066388350606
Griffith,-0.3678633462703278,0.0919954312005984,Australia,AU,New South Wales,,-0.0157023034878565,-0.0162130130296878,-0.3678633462703278,0.0919954312005984,-0.0157023034878565
Kwinana,-0.0269065557314305,-3.105461310455011,Australia,AU,Western Australia,,-0.0163505116983249,-0.018997655128804,-0.0269065557314305,-3.105461310455011,-0.0163505116983249
Burnie,-1.4941214738399564,0.0745978558829345,Australia,AU,Tasmania,,-0.0191044144591631,-0.0110956413823166,-1.4941214738399564,0.0745978558829345,-0.0191044144591631
Wangaratta,-0.7117631462662329,0.1207801262465247,Australia,AU,Victoria,,-0.0193676262779593,-0.0197379309264052,-0.7117631462662329,0.1207801262465247,-0.0193676262779593
Grafton,0.3981005896389384,0.8201478655495091,Australia,AU,New South Wales,,-0.0203104745840951,-0.0497320125164217,0.3981005896389384,0.8201478655495091,-0.0203104745840951
Yeppoon,1.4871803604522529,0.5877576670135984,Australia,AU,Queensland,,-0.0206051146797625,-0.0672662194898364,1.4871803604522529,0.5877576670135984,-0.0206051146797625
Murray Bridge,-0.5053700593180545,-0.6234494845647333,Australia,AU,South Australia,,-0.0214851064321559,-0.0318620990766529,-0.5053700593180545,-0.6234494845647333,-0.0214851064321559
Mount Isa,1.8862324902159096,-0.5988372499016112,Australia,AU,Queensland,,-0.0222354565424557,-0.0940194425008197,1.8862324902159096,-0.5988372499016112,-0.0222354565424557
Narangba,0.8107537461587068,0.8235492130008063,Australia,AU,Queensland,,-0.0222943845615891,-0.0145904317756433,0.8107537461587068,0.8235492130008063,-0.0222943845615891
Mount Eliza,-1.016156785415536,-0.0081436179866922,Australia,AU,Victoria,,-0.024985430768685,-0.0175386231788807,-1.016156785415536,-0.0081436179866922,-0.024985430768685
Broken Hill,0.0200984597203138,-0.3909747805020795,Australia,AU,New South Wales,,-0.0255904250984554,-0.0182014282534771,0.0200984597203138,-0.3909747805020795,-0.0255904250984554
Nerang,0.6787173727231567,0.8612069883544677,Australia,AU,Queensland,,-0.0290082502081976,-0.0219458465320414,0.6787173727231567,0.8612069883544677,-0.0290082502081976
