city,x,y,country,iso2,admin_name,capital,z,population_proper,cluster
Sydney,29.362472951842005,0.8618623173430913,Australia,AU,New South Wales,admin,-0.29859834746893915,20.7390716814777,2
Melbourne,27.785070163515826,-0.10247800802848232,Australia,AU,Victoria,admin,-0.31961658734021414,19.40011935221179,2
Brisbane,14.012269769170222,1.424839368048744,Australia,AU,Queensland,admin,0.1322231418135979,10.063782512510592,4
Perth,11.81385458321305,-1.9350794794462856,Australia,AU,Western Australia,admin,2.3440872418830696,8.682044824500766,4
Adelaide,7.564447764463175,-0.6678194725365353,Australia,AU,South Australia,admin,0.24618270643461931,5.482133826504638,4
Gold Coast,3.6735806152640453,1.1707666114466728,Australia,AU,Queensland,,-0.0880904910343475,2.651766785099412,3
Canberra,2.222550458282579,-0.033418511949602804,Australia,AU,Australian Capital Territory,primary,-0.6469638420210129,1.5473699815176332,0
Newcastle,1.2258102086083051,0.42143511956075574,Australia,AU,New South Wales,,-0.5747822794665508,0.5639049765463123,0
Wollongong,1.5927845244585102,0.18579336410149613,Australia,AU,New South Wales,,-0.6838680490393217,1.1503239182600349,0
Geelong,1.2043696425107975,-0.747966756813603,Australia,AU,Victoria,,-0.6413078336584626,0.7294168723169645,0
Hobart,1.2513429009198596,-1.0787861809448807,Australia,AU,Tasmania,admin,-1.4204621941058522,0.8624771430067264,0
Townsville,0.8605566182498089,1.6452230446022476,Australia,AU,Queensland,,1.401513994806869,0.6743653157639582,3
Ipswich,0.7922900090107718,1.1095053469329026,Australia,AU,Queensland,,-0.02927843337489207,0.6070131299694155,3
Cairns,0.6770602622476724,1.8355560380391647,Australia,AU,Queensland,,1.7518698975147877,0.5371947928258873,3
Toowoomba,0.636699754988824,1.0508570470471337,Australia,AU,Queensland,,0.03550264519849599,0.4892188956406507,3
Darwin,0.5948252552941504,1.2409995699275256,Australia,AU,Northern Territory,admin,3.3929514233872884,0.4943706987204684,3
Ballarat,0.48111837063128593,-0.7305176016362942,Australia,AU,Victoria,,-0.5418801811540325,0.3295947748183616,0
Bendigo,0.45106599154301025,-0.6060995448954705,Australia,AU,Victoria,,-0.478819949944131,0.3168723605293547,0
Launceston,0.40966870467416305,-0.9413209446028037,Australia,AU,Tasmania,,-1.2475679829041297,0.2813262104573291,0
