city,x,y,country,iso2,admin_name,capital,z,population_proper,cluster
Sydney,21.691963471409135,-19.87100309818037,Australia,AU,New South Wales,admin,-0.10261079814599165,20.7390716814777,2
Melbourne,20.410216371784323,-18.45990963761034,Australia,AU,Victoria,admin,-0.4762895758607754,19.40011935221179,2
Brisbane,13.412739312686616,-6.586926422043137,Australia,AU,Queensland,admin,1.1714623919118752,10.063782512510592,4
Perth,12.230056775364757,-4.858934940933951,Australia,AU,Western Australia,admin,-0.8301596492836869,8.682044824500766,4
Adelaide,8.99767966357346,-1.7734553518510165,Australia,AU,South Australia,admin,0.39279697309618405,5.482133826504638,4
Gold Coast,3.03171725723213,-2.2617249621314253,Australia,AU,Queensland,,1.3245161274480968,2.651766785099412,1
Canberra,0.8530404800515754,-2.3203142897801374,Australia,AU,Australian Capital Territory,primary,-0.3589523790604882,1.5473699815176332,0
Newcastle,-0.11028208106743641,-1.322994377601836,Australia,AU,New South Wales,,-0.13993312655611545,0.5639049765463123,0
Wollongong,0.4587126520440435,-1.9207856755014687,Australia,AU,New South Wales,,-0.2356050586298919,1.1503239182600349,0
Geelong,0.07320981815865026,-1.4513316660975677,Australia,AU,Victoria,,-0.6472095292596967,0.7294168723169645,0
Hobart,0.17786994654237692,-1.6350528420772033,Australia,AU,Tasmania,admin,-0.5995248820737714,0.8624771430067264,0
Townsville,1.1525185177275905,-0.12275609780954409,Australia,AU,Queensland,,1.234207767511478,0.6743653157639582,1
Ipswich,1.0415031783616713,-0.14552625393729102,Australia,AU,Queensland,,1.3632256161195353,0.6070131299694155,1
Cairns,1.0286290576503776,0.03887431078084732,Australia,AU,Queensland,,1.2348523377768288,0.5371947928258873,1
Toowoomba,0.9306924825681842,-0.016903894673237007,Australia,AU,Queensland,,1.3251739878133295,0.4892188956406507,1
Darwin,1.0667834662611877,0.2340200380511533,Australia,AU,Northern Territory,admin,0.5537070907837641,0.4943706987204684,1
Ballarat,-0.3144187157759669,-1.0293818162526451,Australia,AU,Victoria,,-0.6473921168997518,0.3295947748183616,0
Bendigo,-0.3272415430063558,-1.0158053094478214,Australia,AU,Victoria,,-0.6075041862025827,0.3168723605293547,0
Launceston,-0.38521947944691104,-1.026842100717185,Australia,AU,Tasmania,,-0.5592342172238287,0.2813262104573291,0
Mackay,0.4050443988633298,0.6206091312692449,Australia,AU,Queensland,,1.3391309620128693,-0.0787792297141576,1
Rockhampton,0.7067669861194289,0.2690638178184278,Australia,AU,Queensland,,1.34991637747122,0.2437270862256769,1
Maitland,-0.7449757817251889,-0.6462889932947334,Australia,AU,New South Wales,,-0.12533881868052968,-0.086414399859184,0
Bunbury,2.8636570269703214,2.668056930009897,Australia,AU,Western Australia,,-1.9454660914431923,0.2114390104489078,3
Coffs Harbour,0.4596364728720679,0.44507970492348176,Australia,AU,New South Wales,,1.340175190803831,0.0163074749160956,1
Bundaberg,0.6612576423914459,0.28167786995041094,Australia,AU,Queensland,,1.4146721546138137,0.2090718494682062,1
Wagga Wagga,-0.5114073049782133,-0.8518867387940136,Australia,AU,New South Wales,,-0.40363888823978067,0.1396537777268695,0
Hervey Bay,0.5913174923192321,0.3454193372959193,Australia,AU,Queensland,,1.4345353839468447,0.1407857110685504,1
Shepparton,-0.601605173278523,-0.7389063574512211,Australia,AU,Victoria,,-0.5317009159834062,0.0397423686250409,0
Albury,-0.7183754147486358,-0.6343826508420568,Australia,AU,New South Wales,,-0.44234468025518797,-0.0738512309452426,0
Port Macquarie,0.5374017713762842,0.3585911468763754,Australia,AU,New South Wales,,1.3015560679980145,0.0984178334430485,1
Pakenham,-0.542078561972249,-0.814607158028454,Australia,AU,Victoria,,-0.5662105576886621,0.1052653845708597,0
Tamworth,0.36113489828431405,0.5738005656878279,Australia,AU,New South Wales,,1.2110394639925295,-0.0937525988993588,1
Caloundra,0.5308742654425445,0.3951422321707932,Australia,AU,Queensland,,1.4163138627179603,0.0831948363726096,1
Orange,-0.5843040589055809,-0.7854840239730289,Australia,AU,New South Wales,,-0.27034341921113286,0.0694394791102057,0
Dubbo,-0.5786570651648534,-0.7773613228950156,Australia,AU,New South Wales,,-0.2738335257779241,0.0707091381816729,0
Geraldton,2.737463360153763,2.847683338263694,Australia,AU,Western Australia,,-1.894049987830175,0.0675070149641421,3
Nowra,-0.71534929597109,-0.6791381386246848,Australia,AU,New South Wales,,-0.22349663479789558,-0.0549612863192442,0
Bathurst,-0.5997739069802935,-0.7766023657018561,Australia,AU,New South Wales,,-0.2479333565275069,0.0561962894054445,0
Queanbeyan,-0.7221845569174622,-0.6566291859247149,Australia,AU,New South Wales,,-0.3050014813829865,-0.0676837006082511,0
Frankston,-0.5838924291962333,-0.7662015637360231,Australia,AU,Victoria,,-0.5852343595348762,0.0608316209985637,0
Sunbury,-0.5807695790080207,-0.7596854768780489,Australia,AU,Victoria,,-0.594548448650563,0.0607756699208381,0
Warrnambool,-0.5986385681317716,-0.7161209967162835,Australia,AU,Victoria,,-0.7282323617427205,0.0331315335952998,0
Wodonga,-0.6596181811726016,-0.6959557517017572,Australia,AU,Victoria,,-0.4463599245028055,-0.0129764583797104,0
Albany,2.674561425178207,2.8253448133850303,Australia,AU,Western Australia,,-1.8595521209990518,0.0318920020272234,3
Gladstone,0.512722671566056,0.4606181661298565,Australia,AU,Queensland,,1.3847319935335167,0.0493013950580193,1
Mildura,-0.5757460544416388,-0.7061839486893184,Australia,AU,Victoria,,-0.6530469862763477,0.046374723300061,0
Southport,0.4878291052485496,0.42870438925053644,Australia,AU,Queensland,,1.4059682428216842,0.0428024621837296,1
Dandenong,-0.6098827432314154,-0.7385665446971003,Australia,AU,Victoria,,-0.5763221828177166,0.034185996213976,0
Kalgoorlie,2.6681670710735346,2.8134598101717074,Australia,AU,Western Australia,,-1.5775914843228933,0.0339406722577942,3
Mount Gambier,-0.6068749135868977,-0.6802804571020215,Australia,AU,South Australia,,-0.8044821882766608,0.0152745319426985,0
Lismore,0.36838558779632,0.5501469167374291,Australia,AU,New South Wales,,1.3846511005536262,-0.0791235440386233,1
Maryborough,0.4271534086480152,0.5193235311515947,Australia,AU,Queensland,,1.4251174643258488,-0.0282209750954284,1
Quakers Hill,-0.6399425418323341,-0.754075832039255,Australia,AU,New South Wales,,-0.1856888937697902,0.0220230927022258,0
Gawler,-0.6943966607858707,-0.5375061184902099,Australia,AU,South Australia,,-0.8367436125262748,-0.091729752243123,0
Caboolture,0.46875461906420085,0.4611307383994343,Australia,AU,Queensland,,1.4038827705022559,0.0192384506031097,1
Ballina,0.36479118036309166,0.5504491980901796,Australia,AU,New South Wales,,1.3974607254161047,-0.0815165285936597,1
Taree,-0.6890701569259285,-0.7107929270917114,Australia,AU,New South Wales,,-0.06158792618629769,-0.024816567212274,0
Traralgon,-0.637461417356239,-0.7290163592596911,Australia,AU,Victoria,,-0.5110219397661716,0.0127825570193782,0
Busselton,2.672327657944715,2.872086311002261,Australia,AU,Western Australia,,-1.9613923920128122,0.0144869129254833,3
Armidale,0.45989737250975826,0.4642230766662103,Australia,AU,New South Wales,,1.2594147339680029,0.010936171454431,1
Goulburn,-0.6555666088661718,-0.7275917715437098,Australia,AU,New South Wales,,-0.27358598764308,0.0019624793730442,0
Alice Springs,0.5549296928433652,0.6543664401856474,Australia,AU,Northern Territory,,0.47851336748951767,0.0075877146490022,1
Devonport,-0.6505692160143448,-0.7335763707603927,Australia,AU,Tasmania,,-0.5867918068684772,0.0046610428910439,0
Bacchus Marsh,-0.7038429075112703,-0.62675110862065,Australia,AU,Victoria,,-0.6072175909955311,-0.0670079837464872,0
Whyalla,-0.5977226292638987,-0.6121523251779125,Australia,AU,South Australia,,-0.8664926886296523,-0.0009512805977465,0
Cessnock,-0.690148020034734,-0.7012559242010948,Australia,AU,New South Wales,,-0.1393469223959446,-0.0292065748492114,0
Gympie,0.4066574181561177,0.5369000529971218,Australia,AU,Queensland,,1.4094276328583897,-0.0480319605393724,1
Griffith,-0.6553339944916237,-0.6757475708435846,Australia,AU,New South Wales,,-0.4501409953492978,-0.0162130130296878,0
Kwinana,2.640611798141993,2.909726607739663,Australia,AU,Western Australia,,-1.9070822480718832,-0.018997655128804,3
Burnie,-0.6634527703889485,-0.7127030817022725,Australia,AU,Tasmania,,-0.6083915293096754,-0.0110956413823166,0
Wangaratta,-0.6642920369873092,-0.6845945243156532,Australia,AU,Victoria,,-0.4814099287153748,-0.0197379309264052,0
Grafton,0.3965419093918029,0.5193146044636114,Australia,AU,New South Wales,,1.3464235976225705,-0.0497320125164217,1
Yeppoon,0.40336904210944435,0.58828416308145,Australia,AU,Queensland,,1.3762982574281022,-0.0672662194898364,1
Murray Bridge,-0.6400817757516107,-0.6053479908797106,Australia,AU,South Australia,,-0.8225391995335574,-0.0318620990766529,0
Mount Isa,0.43564518247497946,0.724255361160805,Australia,AU,Queensland,,0.8419036754620023,-0.0940194425008197,1
Narangba,0.4355122620558173,0.4953431816230056,Australia,AU,Queensland,,1.4018671791623283,-0.0145904317756433,1
Mount Eliza,-0.6601415362068204,-0.6852236591324957,Australia,AU,Victoria,,-0.585765520177182,-0.0175386231788807,0
Broken Hill,-0.6308520568159394,-0.6227473493641201,Australia,AU,New South Wales,,-0.6379558881454205,-0.0182014282534771,0
Nerang,0.42502811534437135,0.4959573225174717,Australia,AU,Queensland,,1.403233041849327,-0.0219458465320414,1
Karratha,2.6554214304375607,2.9606395975147786,Australia,AU,Western Australia,,-1.596747474440635,-0.0226172594647494,3
Mount Barker,-0.6410452879582208,-0.5982613036352082,Australia,AU,South Australia,,-0.8431562473272142,-0.0349523201387324,0
Horsham,-0.6573944116295626,-0.6383135757038064,Australia,AU,Victoria,,-0.7042618385567473,-0.0319352658706019,0
Lara,-0.6630156174380019,-0.6717561740729673,Australia,AU,Victoria,,-0.617117024287485,-0.0241365464214542,0
Singleton,-0.731302311730678,-0.6534054751012621,Australia,AU,New South Wales,,-0.1418636690686417,-0.0730076608503016,0
Port Lincoln,-0.6250115312267616,-0.5720313434321546,Australia,AU,South Australia,,-0.9924259803388276,-0.0337558278612142,0
Banora Point,0.42061244175784895,0.49606876905903324,Australia,AU,New South Wales,,1.4096580739692146,-0.0249456850839486,1
Warwick,0.41128612182136,0.5264365934266713,Australia,AU,Queensland,,1.3316034509508916,-0.0419246852091624,1
Rochedale,0.42029939160970703,0.5064939590211066,Australia,AU,Queensland,,1.4018704423647579,-0.0286040247813964,1
Kempsey,0.3526243398365491,0.5571206391165185,Australia,AU,New South Wales,,1.311556792925955,-0.0924872437569475,1
Ulladulla,-0.6908011647836938,-0.7060959415507941,Australia,AU,New South Wales,,-0.2412779601163376,-0.0287718780145735,0
Sale,-0.6869804754041933,-0.6831853793701618,Australia,AU,Victoria,,-0.4798673216669197,-0.0356796841491661,0
Echuca,-0.6704275953277099,-0.6551858582740783,Australia,AU,Victoria,,-0.5578034489483095,-0.0340872303985124,0
Australind,2.626062686966245,2.9185628986513827,Australia,AU,Western Australia,,-1.9325030452814311,-0.0319524815868252,3
Broome,2.5826163697046858,2.9834930295969606,Australia,AU,Western Australia,,-1.2517369628889217,-0.0771308248857781,3
Port Hedland,2.595643334267918,3.002737978795871,Australia,AU,Western Australia,,-1.4938893095014896,-0.0765368826760748,3
Warragul,-0.6792077003072549,-0.6762689198748922,Australia,AU,Victoria,,-0.5403803245964538,-0.0330844149285061,0
Port Pirie,-0.690238986331249,-0.521798748991544,Australia,AU,South Australia,,-0.8435474709955012,-0.0936880399635215,0
Barwon Heads,-0.6731543605908287,-0.66404882413975,Australia,AU,Victoria,,-0.6167408740992768,-0.0335621510537022,0
Emerald,0.4472111494660651,0.5746833990118175,Australia,AU,Queensland,,1.2316516887335478,-0.03376013179027,1
Ulverstone,-0.6871801701161042,-0.6923218236010491,Australia,AU,Tasmania,,-0.594713487576787,-0.0338031710808282,0
Morwell,-0.683705552259271,-0.6784730381165849,Australia,AU,Victoria,,-0.5177190908225404,-0.0352578991016957,0
Gisborne,-0.6935009503767766,-0.6382417225773235,Australia,AU,Victoria,,-0.5955435935591706,-0.0557962485560735,0
Port Augusta,-0.661076992926062,-0.5441946581761015,Australia,AU,South Australia,,-0.842183715643911,-0.0662849236651092,0
Forster,-0.7004806153552415,-0.7013809074156083,Australia,AU,New South Wales,,-0.06414903016671679,-0.0353913209024261,0
Penrith,-0.6969304745186234,-0.6914266722034174,Australia,AU,New South Wales,,-0.1939075379372906,-0.0373065693322665,0
Torquay,-0.6761803678447066,-0.6587093728714475,Australia,AU,Victoria,,-0.6289307671449594,-0.0374658147073319,0
Jimboomba,0.411363043611348,0.5154882866425621,Australia,AU,Queensland,,1.392183142726615,-0.0377111386635137,1
Lithgow,-0.7275754775261053,-0.6498452062121,Australia,AU,New South Wales,,-0.2154796679530154,-0.0721425711100816,0
Bowral,-0.7094647666906444,-0.679593144612315,Australia,AU,New South Wales,,-0.2240603757486816,-0.0500461993374966,0
Goonellabah,0.40674408571515525,0.5095596094137698,Australia,AU,New South Wales,,1.3854532959809052,-0.0390066213093158,1
Raymond Terrace,-0.7018840331410336,-0.6935264481427755,Australia,AU,New South Wales,,-0.11703627791843058,-0.0393509356337815,0
Leopold,-0.6784495785787037,-0.6573080232199592,Australia,AU,Victoria,,-0.6179589484500955,-0.0393767592081164,0
Dalby,0.419053616063709,0.5360471395411981,Australia,AU,Queensland,,1.314098452149121,-0.0397856324684194,1
Campbelltown,-0.7012731281665706,-0.6909097195673961,Australia,AU,New South Wales,,-0.19401604772514708,-0.04044413361396,0
Colac,-0.6903008488842213,-0.6339035327235227,Australia,AU,Victoria,,-0.6668806922772688,-0.0555853560323382,0
Muswellbrook,-0.6999282468009344,-0.680424285377725,Australia,AU,New South Wales,,-0.15078798423500672,-0.0425573627803681,0
Esperance,2.543790779681916,2.916996754784502,Australia,AU,Western Australia,,-1.6203822416712532,-0.0852996822337264,3
Drouin,-0.6888004863091574,-0.6648731797439201,Australia,AU,Victoria,,-0.5440576338699459,-0.0433665014428624,0
Rutherford,-0.704707623429847,-0.6873154669248703,Australia,AU,New South Wales,,-0.12700702065054792,-0.0433794132300299,0
Nelson Bay,-0.7079158538819331,-0.6923737618131509,Australia,AU,New South Wales,,-0.09456891097700278,-0.0436548646896024,0
