city,x,y,country,iso2,admin_name,capital,z,population_proper,cluster
Sydney,21.90650306593481,-19.620185761727686,Australia,AU,New South Wales,admin,-0.1026107981459896,20.7390716814777,2
Melbourne,20.630044850189247,-18.208813891770276,Australia,AU,Victoria,admin,-0.4762895758607735,19.40011935221179,2
Brisbane,13.345610280054945,-6.632390695307137,Australia,AU,Queensland,admin,1.171462391911877,10.063782512510592,4
Perth,12.32516133899349,-4.672763521060028,Australia,AU,Western Australia,admin,-0.8301596492836856,8.682044824500766,4
Adelaide,8.915264108995546,-1.8311616378118831,Australia,AU,South Australia,admin,0.3927969730961852,5.482133826504638,4
Gold Coast,3.053734627045849,-2.2316070443161675,Australia,AU,Queensland,,1.324516127448097,2.651766785099412,1
Canberra,0.8701672540286629,-2.316633744828778,Australia,AU,Australian Capital Territory,primary,-0.3589523790604882,1.5473699815176332,0
Newcastle,-0.11382214099933805,-1.352449428607099,Australia,AU,New South Wales,,-0.13993312655611556,0.5639049765463123,0
Wollongong,0.4613028413699983,-1.9332019216796494,Australia,AU,New South Wales,,-0.2356050586298919,1.1503239182600349,0
Geelong,0.09710979213808102,-1.4415653917796416,Australia,AU,Victoria,,-0.6472095292596969,0.7294168723169645,0
Hobart,0.17580042441973293,-1.6623379913525396,Australia,AU,Tasmania,admin,-0.5995248820737716,0.8624771430067264,0
Townsville,1.197204186359334,-0.04566433904796533,Australia,AU,Queensland,,1.2342077675114782,0.6743653157639582,1
Ipswich,1.0344061140368146,-0.14818378740314314,Australia,AU,Queensland,,1.3632256161195357,0.6070131299694155,1
Cairns,1.082117684941435,0.13049740373585614,Australia,AU,Queensland,,1.234852337776829,0.5371947928258873,1
Toowoomba,0.9262327064428242,-0.015729199067215847,Australia,AU,Queensland,,1.3251739878133297,0.4892188956406507,1
Darwin,1.2091248441070608,0.4533714229788857,Australia,AU,Northern Territory,admin,0.5537070907837645,0.4943706987204684,1
Ballarat,-0.2945917784790953,-1.0191309349499253,Australia,AU,Victoria,,-0.647392116899752,0.3295947748183616,0
Bendigo,-0.3081105795123703,-1.0054219382024872,Australia,AU,Victoria,,-0.6075041862025828,0.3168723605293547,0
Launceston,-0.39272860362441103,-1.057711082208702,Australia,AU,Tasmania,,-0.559234217223829,0.2813262104573291,0
Mackay,0.4230071224284077,0.65498494332094,Australia,AU,Queensland,,1.3391309620128695,-0.0787792297141576,1
Rockhampton,0.7155782462722231,0.2934271849827467,Australia,AU,Queensland,,1.3499163774712202,0.2437270862256769,1
Maitland,-0.7598260131412026,-0.683117458178639,Australia,AU,New South Wales,,-0.12533881868052987,-0.086414399859184,0
Bunbury,2.8288960858198657,2.677396901810585,Australia,AU,Western Australia,,-1.9454660914431918,0.2114390104489078,3
Coffs Harbour,0.4365140279881664,0.4153719793746541,Australia,AU,New South Wales,,1.340175190803831,0.0163074749160956,1
Bundaberg,0.6563945888725262,0.2856985394903893,Australia,AU,Queensland,,1.4146721546138141,0.2090718494682062,1
Wagga Wagga,-0.5079269499726954,-0.8609652777808855,Australia,AU,New South Wales,,-0.40363888823978084,0.1396537777268695,0
