city,x,y,country,iso2,admin_name,capital,z,population_proper,cluster
Sydney,22.82947773035849,-18.4055727546019,Australia,AU,New South Wales,admin,-1.0680528633142423,20.7390716814777,2
Melbourne,21.24024048486131,-17.44765443713306,Australia,AU,Victoria,admin,-0.5839874644847162,19.40011935221179,2
Brisbane,12.881145535257568,-6.7663922575961335,Australia,AU,Queensland,admin,0.301979926534624,10.063782512510592,4
Perth,10.724912664850688,-6.240302280420688,Australia,AU,Western Australia,admin,2.9953838278696496,8.682044824500766,4
Adelaide,7.6006238387526395,-3.051857893726138,Australia,AU,South Australia,admin,1.532185170011496,5.482133826504638,4
Gold Coast,4.021998863323869,-0.9931187531669502,Australia,AU,Queensland,,-0.6728840078178064,2.651766785099412,1
Canberra,1.0280837099307818,-2.202150712449199,Australia,AU,Australian Capital Territory,primary,-0.5945514308213172,1.5473699815176332,0
Newcastle,0.11273860892735285,-1.1918241536472494,Australia,AU,New South Wales,,-0.7051887658700594,0.5639049765463123,0
Wollongong,0.6458244118050805,-1.7672987368424558,Australia,AU,New South Wales,,-0.6872907733786034,1.1503239182600349,0
Geelong,0.02707058979251584,-1.6449999415429861,Australia,AU,Victoria,,-0.23388229636609276,0.7294168723169645,0
Hobart,0.08305277188220836,-1.8911370989977068,Australia,AU,Tasmania,admin,-0.49715446300011856,0.8624771430067264,0
Townsville,2.0316171280832367,1.0708147904076035,Australia,AU,Queensland,,-0.00282182822153849,0.6743653157639582,1
Ipswich,1.8432323875023817,0.9030505214467286,Australia,AU,Queensland,,-0.5025413875324788,0.6070131299694155,1
Cairns,1.9283979268259748,1.2699840538391955,Australia,AU,Queensland,,0.10198063689722599,0.5371947928258873,1
Toowoomba,1.7077848411839522,0.999846933026998,Australia,AU,Queensland,,-0.43694521442315976,0.4892188956406507,1
Darwin,1.771170482583193,1.24455563703093,Australia,AU,Northern Territory,admin,1.2120857395022764,0.4943706987204684,1
Ballarat,-0.40606089540752344,-1.2463417026100643,Australia,AU,Victoria,,-0.1669807482220645,0.3295947748183616,0
Bendigo,-0.394745753090474,-1.195833221632777,Australia,AU,Victoria,,-0.18823169974476048,0.3168723605293547,0
Launceston,-0.5054392537573079,-1.298950733308311,Australia,AU,Tasmania,,-0.43593366692664703,0.2813262104573291,0
Mackay,1.2403165477592921,1.7105938882650094,Australia,AU,Queensland,,-0.14773949363506572,-0.0787792297141576,1
Rockhampton,1.5281888193558695,1.3664095939955556,Australia,AU,Queensland,,-0.2800401951340139,0.2437270862256769,1
Maitland,-0.5985398510433242,-0.5667438770815106,Australia,AU,New South Wales,,-0.6478816144739258,-0.086414399859184,0
Bunbury,0.11578270386498889,-0.37222536625182856,Australia,AU,Western Australia,,3.2743925554356803,0.2114390104489078,3
Coffs Harbour,1.1678950685746785,1.3362416247105602,Australia,AU,New South Wales,,-0.5199801836033643,0.0163074749160956,1
Bundaberg,1.482610627880494,1.3703483017137021,Australia,AU,Queensland,,-0.42314695144262976,0.2090718494682062,1
Wagga Wagga,-0.4975922383160347,-0.9185136311008173,Australia,AU,New South Wales,,-0.38349027501567967,0.1396537777268695,0
Hervey Bay,1.407161859563108,1.4247182215687897,Australia,AU,Queensland,,-0.4605493555359712,0.1407857110685504,1
Shepparton,-0.6588072289227824,-0.9122670123923079,Australia,AU,Victoria,,-0.24982529219861419,0.0397423686250409,0
Albury,-0.7438643558888951,-0.776841909012789,Australia,AU,New South Wales,,-0.34909373521855386,-0.0738512309452426,0
Port Macquarie,1.2133723942408268,1.2232454565745499,Australia,AU,New South Wales,,-0.5185915364783055,0.0984178334430485,1
Pakenham,-0.6343413363210489,-1.0321640536552488,Australia,AU,Victoria,,-0.2753449367450721,0.1052653845708597,0
Tamworth,0.9987989725777594,1.3721311289515092,Australia,AU,New South Wales,,-0.36379319932538706,-0.0937525988993588,1
Caloundra,1.312916049000236,1.4227345499475301,Australia,AU,Queensland,,-0.4898282536805747,0.0831948363726096,1
Orange,-0.5016772371760218,-0.7542859377789076,Australia,AU,New South Wales,,-0.48536718842447013,0.0694394791102057,0
Dubbo,-0.48323353631318544,-0.7228680078642535,Australia,AU,New South Wales,,-0.44002219376079343,0.0707091381816729,0
