city,x,y,country,iso2,admin_name,capital,z,population_proper,cluster
Sydney,27.74770727645863,-9.568196592086709,Australia,AU,New South Wales,admin,-0.7177123826875178,20.7390716814777,2
Melbourne,25.93743278154173,-9.508083094175717,Australia,AU,Victoria,admin,-0.24888523675601865,19.40011935221179,2
Brisbane,14.068884303527547,-2.768782166630484,Australia,AU,Queensland,admin,-0.6129534389791516,10.063782512510592,4
Perth,11.749620159012872,-3.156516172114333,Australia,AU,Western Australia,admin,3.017536825253257,8.682044824500766,4
Adelaide,7.6386394493332785,-1.624840926809493,Australia,AU,South Australia,admin,0.5463189555160567,5.482133826504638,4
Gold Coast,4.063529534534319,0.22337571557764704,Australia,AU,Queensland,,-0.6699134319847537,2.651766785099412,1
Canberra,1.7659272572239582,-1.5326399695377178,Australia,AU,Australian Capital Territory,primary,-0.5509300151647757,1.5473699815176332,0
Newcastle,0.7450136455459152,-0.8292696350703771,Australia,AU,New South Wales,,-0.716270695062379,0.5639049765463123,0
Wollongong,1.2467270692304182,-1.2105377952455398,Australia,AU,New South Wales,,-0.6932331334169446,1.1503239182600349,0
Geelong,0.612813549064959,-1.5504757747689388,Australia,AU,Victoria,,-0.1850792651098695,0.7294168723169645,0
Hobart,0.5661890548732056,-2.05210639278635,Australia,AU,Tasmania,admin,-0.7001524255745887,0.8624771430067264,0
Townsville,1.7107722538036716,2.0073302227659484,Australia,AU,Queensland,,0.3964985851850353,0.6743653157639582,1
Ipswich,1.3601725270261489,1.230879991636083,Australia,AU,Queensland,,-0.5854121335004152,0.6070131299694155,1
Cairns,1.6127517721861806,2.3047190784872083,Australia,AU,Queensland,,0.6072745519846735,0.5371947928258873,1
Toowoomba,1.2060808876825557,1.277418995161853,Australia,AU,Queensland,,-0.4990516372279378,0.4892188956406507,1
Darwin,1.6288419095739963,2.569986197651012,Australia,AU,Northern Territory,admin,2.3429704329051666,0.4943706987204684,1
Ballarat,0.025905433120022334,-1.2769918606746409,Australia,AU,Victoria,,-0.10632977965938249,0.3295947748183616,0
Bendigo,0.03485717739578251,-1.1759394164963106,Australia,AU,Victoria,,-0.11383598283382361,0.3168723605293547,0
Launceston,-0.16436646172026056,-1.6192165091448552,Australia,AU,Tasmania,,-0.6175184470074007,0.2813262104573291,0
Mackay,0.7748886667188241,2.1597354411380367,Australia,AU,Queensland,,0.06932473217289051,-0.0787792297141576,1
