city,x,y,country,iso2,admin_name,capital,z,population_proper,cluster
Sydney,25.2052398667776,-15.09384494262923,Australia,AU,New South Wales,admin,0.03213785397960129,20.7390716814777,2
Melbourne,23.745283001726584,-14.011015575525295,Australia,AU,Victoria,admin,-0.5308711491723658,19.40011935221179,2
Brisbane,13.695701228191355,-5.197484331612994,Australia,AU,Queensland,admin,1.3991794304237952,10.063782512510592,4
Perth,12.879648049064095,-2.4484434198407365,Australia,AU,Western Australia,admin,-1.1937896434164645,8.682044824500766,4
Adelaide,8.450395886956619,-1.385815439103363,Australia,AU,South Australia,admin,0.22460915071851828,5.482133826504638,4
Gold Coast,3.365501957536257,-1.7051328011342057,Australia,AU,Queensland,,1.2782041447637593,2.651766785099412,3
Canberra,1.2963438656691448,-2.054879427797999,Australia,AU,Australian Capital Territory,primary,-0.2877410454352512,1.5473699815176332,0
Newcastle,0.20053232964834194,-1.372264500536458,Australia,AU,New South Wales,,0.023057907584994295,0.5639049765463123,0
Wollongong,0.7853217809484875,-1.7894205521890383,Australia,AU,New South Wales,,-0.1204915562567998,1.1503239182600349,0
Geelong,0.4073389491475736,-1.3602079498509703,Australia,AU,Victoria,,-0.7154343477941549,0.7294168723169645,0
Hobart,0.33535575592075206,-1.8446275412976685,Australia,AU,Tasmania,admin,-0.7554066562676152,0.8624771430067264,0
Townsville,1.4119121521029985,0.5959715990288321,Australia,AU,Queensland,,1.331776342019985,0.6743653157639582,3
Ipswich,0.9644176673486076,-0.10397543978667818,Australia,AU,Queensland,,1.3126873799088938,0.6070131299694155,3
Cairns,1.3386551585063526,0.8752441600953546,Australia,AU,Queensland,,1.3806915068946852,0.5371947928258873,3
Toowoomba,0.8497847983661784,0.028293925468904395,Australia,AU,Queensland,,1.2652533147515732,0.4892188956406507,3
Darwin,1.7969046345471915,1.9139405141658097,Australia,AU,Northern Territory,admin,0.6311473906703017,0.4943706987204684,3
Ballarat,-0.07211181693014067,-0.9785140677169142,Australia,AU,Victoria,,-0.706776333087024,0.3295947748183616,0
Bendigo,-0.0803708650914557,-0.9462942942500421,Australia,AU,Victoria,,-0.6403363714551431,0.3168723605293547,0
Launceston,-0.31786141685978375,-1.3163739689232195,Australia,AU,Tasmania,,-0.6809506596197985,0.2813262104573291,0
Mackay,0.45917709615869423,0.9102291895390437,Australia,AU,Queensland,,1.4129626840982272,-0.0787792297141576,3
Rockhampton,0.7030198507964149,0.5102668964567646,Australia,AU,Queensland,,1.382727303879035,0.2437270862256769,3
Maitland,-0.607810494522674,-0.8289717103820123,Australia,AU,New South Wales,,0.03896819028107867,-0.086414399859184,0
Bunbury,2.1747449147358813,2.8361105118037173,Australia,AU,Western Australia,,-2.009497868862501,0.2114390104489078,1
Coffs Harbour,0.22050953824920516,0.15966168032756972,Australia,AU,New South Wales,,1.2200004894213123,0.0163074749160956,3
Bundaberg,0.5765697191533666,0.36316070580375204,Australia,AU,Queensland,,1.4311993621678463,0.2090718494682062,3
Wagga Wagga,-0.33238687575381687,-0.8846423722156815,Australia,AU,New South Wales,,-0.354551541253264,0.1396537777268695,0
Hervey Bay,0.4712298980561474,0.3644386168463065,Australia,AU,Queensland,,1.445806548558716,0.1407857110685504,3
Shepparton,-0.4177283581004827,-0.7834868626170153,Australia,AU,Victoria,,-0.5416218009620674,0.0397423686250409,0
Albury,-0.5712675884633942,-0.7684025318409985,Australia,AU,New South Wales,,-0.4257124574342364,-0.0738512309452426,0
Port Macquarie,0.2699674681103013,0.06512564634486902,Australia,AU,New South Wales,,1.1491496525195304,0.0984178334430485,3
Pakenham,-0.396773007137394,-0.9195378946166681,Australia,AU,Victoria,,-0.6195954285877397,0.1052653845708597,0
Tamworth,0.12885445660789158,0.31440834207889,Australia,AU,New South Wales,,1.0419531259278043,-0.0937525988993588,3
Caloundra,0.35909626190988636,0.31361958061341416,Australia,AU,Queensland,,1.3902766245806495,0.0831948363726096,3
Orange,-0.41563961151969603,-0.8227357146105174,Australia,AU,New South Wales,,-0.15078987204743846,0.0694394791102057,0
Dubbo,-0.37668307729559974,-0.7424009549698299,Australia,AU,New South Wales,,-0.13318428088245735,0.0707091381816729,0
Geraldton,2.1442126534555226,3.2411964094486736,Australia,AU,Western Australia,,-1.849972850056671,0.0675070149641421,1
Nowra,-0.6268752327782937,-0.9015715689305093,Australia,AU,New South Wales,,-0.12836078088460443,-0.0549612863192442,0
Bathurst,-0.44778003806724404,-0.8443485756330429,Australia,AU,New South Wales,,-0.1260472253967786,0.0561962894054445,0
Queanbeyan,-0.6157541879946675,-0.847935110617606,Australia,AU,New South Wales,,-0.2396532244800086,-0.0676837006082511,0
Frankston,-0.4417047246803369,-0.8728239443093234,Australia,AU,Victoria,,-0.6455334754726312,0.0608316209985637,0
Sunbury,-0.4161574970381426,-0.8203996101199373,Australia,AU,Victoria,,-0.6447768107468941,0.0607756699208381,0
Warrnambool,-0.40549044794506595,-0.7304410972458842,Australia,AU,Victoria,,-0.8280776174810462,0.0331315335952998,0
Wodonga,-0.5156128680426698,-0.8045827165406733,Australia,AU,Victoria,,-0.4307107046110002,-0.0129764583797104,0
Albany,1.8622974210560879,2.7646668956330385,Australia,AU,Western Australia,,-1.9409485687888657,0.0318920020272234,1
Gladstone,0.44251166143440024,0.5921655202081905,Australia,AU,Queensland,,1.413677722087237,0.0493013950580193,3
Mildura,-0.2803506883966551,-0.49752876728284545,Australia,AU,Victoria,,-0.6451102086846853,0.046374723300061,0
Southport,0.2753468130245813,0.2675912443256195,Australia,AU,Queensland,,1.3520721114656533,0.0428024621837296,3
Dandenong,-0.4707894464404597,-0.847500965544106,Australia,AU,Victoria,,-0.630991558670951,0.034185996213976,0
Kalgoorlie,1.8717643261467292,2.80978423949463,Australia,AU,Western Australia,,-1.499899467004204,0.0339406722577942,1
Mount Gambier,-0.367941027652657,-0.5998674207772441,Australia,AU,South Australia,,-0.911032832457108,0.0152745319426985,0
Lismore,0.12861024184652328,0.31000601355808277,Australia,AU,New South Wales,,1.3059790713754633,-0.0791235440386233,3
Maryborough,0.2777295327328334,0.48184621147328405,Australia,AU,Queensland,,1.4268102383479835,-0.0282209750954284,3
Quakers Hill,-0.5317066198502605,-0.9014873290176496,Australia,AU,New South Wales,,-0.05590159607417642,0.0220230927022258,0
Gawler,-0.34632017386852604,-0.250917294406224,Australia,AU,South Australia,,-0.8834155520117724,-0.091729752243123,0
Caboolture,0.28158931996044506,0.35549897902913546,Australia,AU,Queensland,,1.3684344364708014,0.0192384506031097,3
Ballina,0.11764237871776546,0.2987851692810492,Australia,AU,New South Wales,,1.3215018732326433,-0.0815165285936597,3
Taree,-0.5775174370633049,-0.8526709469350545,Australia,AU,New South Wales,,0.13661558992982079,-0.024816567212274,0
Traralgon,-0.5365265557025752,-0.9110046889961255,Australia,AU,Victoria,,-0.5548061347910214,0.0127825570193782,0
