city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z
Sydney,-0.2971978649580141,0.6380490186149356,Australia,AU,New South Wales,admin,20.773757135760366,20.7390716814777,-0.2971978649580141,0.6380490186149356,20.773757135760366
Melbourne,-0.9537383814516708,-0.021759570982729837,Australia,AU,Victoria,admin,19.854597893316253,19.40011935221179,-0.9537383814516708,-0.021759570982729837,19.854597893316253
Brisbane,0.7664755869270141,0.8301617704682376,Australia,AU,Queensland,admin,9.781799799287594,10.063782512510592,0.7664755869270141,0.8301617704682376,9.781799799287594
Perth,0.020846682463620755,-3.0960917601776767,Australia,AU,Western Australia,admin,7.995495112621192,8.682044824500766,0.020846682463620755,-3.0960917601776767,7.995495112621192
Adelaide,-0.474094348647828,-0.6937897723852161,Australia,AU,South Australia,admin,5.191672462507674,5.482133826504638,-0.474094348647828,-0.6937897723852161,5.191672462507674
Gold Coast,0.6752090394156511,0.8694462772116504,Australia,AU,Queensland,admin,2.572714865485118,2.651766785099412,0.6752090394156511,0.8694462772116504,2.572714865485118
Canberra,-0.5346505093394636,0.4180705693190119,Australia,AU,Australian Capital Territory,primary,1.5810623739029914,1.5473699815176332,-0.5346505093394636,0.4180705693190119,1.5810623739029914
Newcastle,-0.13952239218514853,0.6951536283097159,Australia,AU,New South Wales,admin,1.1708212188340987,0.5639049765463123,-0.13952239218514853,0.6951536283097159,1.1708212188340987
Wollongong,-0.3916568295074866,0.6035813268957255,Australia,AU,New South Wales,admin,1.0940615811108199,1.1503239182600347,-0.3916568295074866,0.6035813268957255,1.0940615811108199
Geelong,-1.0096721883068762,-0.08652249403835174,Australia,AU,Victoria,admin,0.9390455339782722,0.7294168723169645,-1.0096721883068762,-0.08652249403835174,0.9390455339782722
Hobart,-1.7962371904151917,0.2277324335272557,Australia,AU,Tasmania,admin,0.8489328071193456,0.8624771430067264,-1.7962371904151917,0.2277324335272557,0.8489328071193456
