city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z
Sydney,-0.2971978649580141,0.6380490186149356,Australia,AU,New South Wales,admin,20.773757135760366,20.7390716814777,35.952679138227026,1.6820534548708572,-0.15697911504135229
Melbourne,-0.9537383814516708,-0.0217595709827298,Australia,AU,Victoria,admin,19.854597893316253,19.40011935221179,34.168110854571175,0.2981590105082706,-0.2002949217776676
Brisbane,0.7664755869270141,0.8301617704682376,Australia,AU,Queensland,admin,9.781799799287594,10.063782512510592,17.03969185073846,2.2318730428395583,0.31398586603948686
Perth,0.0208466824636207,-3.0960917601776767,Australia,AU,Western Australia,admin,7.995495112621192,8.682044824500766,14.286522446219392,-2.5636656173280508,3.4111699024785094
Adelaide,-0.474094348647828,-0.6937897723852161,Australia,AU,South Australia,admin,5.191672462507674,5.482133826504638,9.194696339251832,-0.8288180143937126,0.4122560794420675
Gold Coast,0.6752090394156511,0.8694462772116504,Australia,AU,Queensland,,2.572714865485118,2.651766785099412,4.446324444270703,1.7125903036384387,-0.08937000556636078
Canberra,-0.5346505093394636,0.4180705693190119,Australia,AU,Australian Capital Territory,primary,1.5810623739029914,1.5473699815176332,2.7425728081257317,-0.010089651691202543,-0.8948202891925812
Newcastle,-0.1395223921851485,0.6951536283097159,Australia,AU,New South Wales,,1.1708212188340987,0.5639049765463123,1.6740029157739822,0.6230523711318722,-0.7966452449249286
Wollongong,-0.3916568295074866,0.6035813268957255,Australia,AU,New South Wales,,1.09406158111082,1.1503239182600349,1.9400063881697525,0.28910776511540004,-0.9527294803336291
Geelong,-1.0096721883068762,-0.0865224940383517,Australia,AU,Victoria,,0.9390455339782722,0.7294168723169645,1.5654119591778584,-1.034601216122413,-0.8964708790413896
Hobart,-1.7962371904151917,0.2277324335272557,Australia,AU,Tasmania,admin,0.8489328071193456,0.8624771430067264,1.5793342306789822,-1.5017177059935747,-2.0001847724018593
Townsville,2.1317991945692203,0.1742087455280987,Australia,AU,Queensland,,0.615098570128456,0.6743653157639582,0.9712780061674071,2.3351413217163843,1.9931792519007898
