city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z,cluster
Sydney,-0.2971978649580141,0.6380490186149356,Australia,AU,New South Wales,admin,20.773757135760366,20.7390716814777,35.96504871415863,1.2078911763190947,-0.42635937509534594,2
Melbourne,-0.9537383814516708,-0.0217595709827298,Australia,AU,Victoria,admin,19.854597893316253,19.40011935221179,34.07368934898786,-0.14212221524871388,-0.4553533817779118,2
Brisbane,0.7664755869270141,0.8301617704682376,Australia,AU,Queensland,admin,9.781799799287594,10.063782512510592,17.134286720595565,1.9957835401041657,0.18815368307947994,4
Perth,0.0208466824636207,-3.0960917601776767,Australia,AU,Western Australia,admin,7.995495112621192,8.682044824500766,14.403874024259931,-2.7138961918093165,3.3461277405718732,4
Adelaide,-0.474094348647828,-0.6937897723852161,Australia,AU,South Australia,admin,5.191672462507674,5.482133826504638,9.236808931415265,-0.93677379662536,0.35089322865506833,4
Gold Coast,0.6752090394156511,0.8694462772116504,Australia,AU,Queensland,,2.572714865485118,2.651766785099412,4.4914262569848455,1.6403883836622257,-0.12600439368748956,1
Canberra,-0.5346505093394636,0.4180705693190119,Australia,AU,Australian Capital Territory,primary,1.5810623739029914,1.5473699815176332,2.7251767289240405,-0.04672557690139648,-0.9238996447891407,0
Newcastle,-0.1395223921851485,0.6951536283097159,Australia,AU,New South Wales,,1.1708212188340987,0.5639049765463123,1.5595634813708241,0.5925312709367441,-0.8194192006082252,0
Wollongong,-0.3916568295074866,0.6035813268957255,Australia,AU,New South Wales,,1.09406158111082,1.1503239182600349,1.9451587999932747,0.2601734088619122,-0.9768254611354742,0
Geelong,-1.0096721883068762,-0.0865224940383517,Australia,AU,Victoria,,0.9390455339782722,0.7294168723169645,1.4952104160489108,-1.0474827426184004,-0.9153917111478825,0
Hobart,-1.7962371904151917,0.2277324335272557,Australia,AU,Tasmania,admin,0.8489328071193456,0.8624771430067264,1.5311081194134546,-1.5118006581158354,-2.0287081084244676,0
Townsville,2.1317991945692203,0.1742087455280987,Australia,AU,Queensland,,0.615098570128456,0.6743653157639582,1.0483507083712698,2.305337267882253,2.0014683200011953,1
Ipswich,0.7417177277095938,0.8025495896058333,Australia,AU,Queensland,,0.5450920833978748,0.6070131299694155,0.9642171115904252,1.554594455089969,-0.04196935937339539,1
Cairns,2.518563844170571,0.0635065054982641,Australia,AU,Queensland,,0.5047421044298727,0.5371947928258873,0.8262507769300822,2.5721478620230234,2.5019050320780387,1
Toowoomba,0.7500313137463367,0.7162800099947976,Australia,AU,Queensland,,0.4424041172558624,0.4892188956406507,0.7751368396556855,1.472457478725233,0.05058675737412918,1
Darwin,3.2654896680556966,-1.5134933817664311,Australia,AU,Northern Territory,admin,0.4422744756137687,0.4943706987204684,0.7241395165653608,1.7389217787373241,4.845623924112001,1
Ballarat,-0.9099091558659618,-0.1393384482510589,Australia,AU,Victoria,,0.319087415882521,0.3295947748183616,0.5882235459828004,-1.0237415661845515,-0.7739265959982862,0
Bendigo,-0.7768917792780765,-0.0953216320101896,Australia,AU,Victoria,,0.2941451496506209,0.3168723605293547,0.5502356436789124,-0.8494285609679744,-0.6838952527013328,0
Launceston,-1.5570220657939522,0.2087186900106833,Australia,AU,Tasmania,,0.2478120124732654,0.2813262104573291,0.49835867070197215,-1.3192288101625809,-1.78183300268698,0
Mackay,1.8184268825002343,0.4243239782977968,Australia,AU,Queensland,,0.2196051339813702,-0.0787792297141576,0.09490187053812225,2.2222176101151927,1.4178736593856176,1
Rockhampton,1.4469924855506375,0.5643496361065241,Australia,AU,Queensland,,0.2134923341299232,0.2437270862256769,0.3469127824720241,1.9998327502454043,0.9041279169561578,1
Maitland,-0.1062680480381778,0.6740272466246342,Australia,AU,New South Wales,,0.2112255696605885,-0.086414399859184,0.13448651919842713,0.5693994802284436,-0.7846859671251087,0
Bunbury,-0.2087911910432904,-3.11992231871845,Australia,AU,Western Australia,,0.1968785612688891,0.2114390104489078,0.3830843733741886,-3.301082500140473,2.935005360491132,3
Coffs Harbour,0.2951950216761353,0.8397531477532654,Australia,AU,New South Wales,,0.1868961548276766,0.0163074749160956,0.1772585055497332,1.1318160090651586,-0.543725862144051,1
Bundaberg,1.201741697466723,0.7585327733649639,Australia,AU,Queensland,,0.1833565451450586,0.2090718494682062,0.2967574147945867,1.949437657989756,0.45920014706862045,1
