Name,Team,x,Position,y,Height,z,College,Salary,cluster
Avery Bradley,Boston Celtics,0.4018257746256167,PG,-1.7588522285103394,6-2,0.10258216789169082,Texas,0.5588067775633135,0.5235508450295214
Jae Crowder,Boston Celtics,-0.5901966735179638,SF,3.5707218194093553,6-6,0.03318877087215169,Marquette,0.3787902204833014,-1.7314926066023362
John Holland,Boston Celtics,-0.4075894681321171,SG,0.14860370693877203,6-5,0.4346309190325675,Boston University,-0.1653211053974095,-0.9798114560583836
R.J. Hunter,Boston Celtics,-1.1159289460275332,SG,-0.5705493631729258,6-5,-0.22832561866259005,Georgia State,-0.7094324312781204,0.5235508450295214
Jonas Jerebko,Boston Celtics,0.25354187018241053,PF,-0.10502595053185942,6-10,0.18031884913465088,,0.0326931572081841,-0.9798114560583836
Amir Johnson,Boston Celtics,0.5453558599962695,PF,3.4425895772301747,6-9,0.5990301025467011,,1.3815359346696865,-1.7314926066023362
Jordan Mickey,Boston Celtics,-1.125660807500724,PF,1.6200343080281696,6-8,-1.0845514363922486,LSU,-0.7051315497362717,1.275231995573474
Kelly Olynyk,Boston Celtics,-0.6781623523032976,C,1.2682238957795486,7-0,-0.43565402430015016,Gonzaga,-0.513557336971668,1.275231995573474
Terry Rozier,Boston Celtics,-0.7712673031419713,PG,-1.1255675919910855,6-2,-0.47427610006957105,Louisville,-0.579226711051508,0.5235508450295214
Marcus Smart,Boston Celtics,-0.580401057745766,PG,0.5260862424105098,6-4,-0.826077061161738,Oklahoma State,-0.26963260909553,1.275231995573474
Jared Sullinger,Boston Celtics,-0.07119241686131016,C,0.3075638451306716,6-9,-1.3490345597747415,Ohio State,-0.43569057034706904,1.275231995573474
Isaiah Thomas,Boston Celtics,0.28649413278972446,PG,-1.3928194405403402,5-9,0.4920446835886236,Washington,0.40128737647675644,-0.9798114560583836
Evan Turner,Boston Celtics,-0.1734311624610633,SG,-0.2994177603329877,6-7,0.011844928452260515,Ohio State,-0.2706981948897246,0.5235508450295214
James Young,Boston Celtics,-0.671860816703369,SG,-0.6096439589125455,6-6,-1.3302263075086649,Kentucky,-0.5935861058767126,0.5235508450295214
Tyler Zeller,Boston Celtics,-0.5142035856881306,C,1.765747389837301,7-0,-0.47196411122428156,North Carolina,-0.4264962799004154,-1.7314926066023362
Bojan Bogdanovic,Brooklyn Nets,-0.5987943039635447,SG,0.9768956843730181,6-8,0.37691502154799683,,-0.2706981948897246,-1.7314926066023362
Markel Brown,Brooklyn Nets,-1.0207165808662677,SG,-0.6217124799818174,6-3,0.06068516604289299,Oklahoma State,-0.7679300083101976,0.5235508450295214
Wayne Ellington,Brooklyn Nets,-0.7427874964579966,SG,-0.27720466486965767,6-4,0.7091483451228742,North Carolina,-0.6417282315225671,-0.9798114560583836
Rondae Hollis-Jefferson,Brooklyn Nets,-0.8225490322838167,SG,0.0015915355192988136,6-7,-1.099322374103961,Arizona,-0.6734298906294194,1.275231995573474
Jarrett Jack,Brooklyn Nets,0.40967169245383644,PG,-0.9279917707771188,6-3,1.2830939453810128,Georgia Tech,0.28319253016532026,-0.9798114560583836
Sergey Karasev,Brooklyn Nets,-0.6661680092419403,SG,-0.80534691514592,6-7,-0.8055723019721065,,-0.622489879679459,0.5235508450295214
Sean Kilpatrick,Brooklyn Nets,-0.7156220990244069,SG,-0.5486534813164012,6-4,-0.15507134979436593,Cincinnati,-0.904903836210461,0.5235508450295214
Shane Larkin,Brooklyn Nets,-0.7618759821150104,PG,-1.9127701199005478,5-11,-0.09672070125585608,Miami (FL),-0.6417282315225671,0.5235508450295214
Brook Lopez,Brooklyn Nets,3.054842660477867,C,0.8616429230018932,7-0,-1.1053172694931443,Stanford,2.863143379798471,-0.2281303055144311
Chris McCullough,Brooklyn Nets,-0.7122790243585981,PF,-1.39496066435548,6-11,-0.9464185800556747,Syracuse,-0.7110510426110742,0.5235508450295214
Willie Reed,Brooklyn Nets,-0.8931480711065629,PF,0.5855321408465071,6-10,0.05022537686039373,Saint Louis,-0.7482336279982287,1.275231995573474
Thomas Robinson,Brooklyn Nets,-0.8915581003563102,PF,1.253745163198494,6-10,-0.3920176324763496,Kansas,-0.7416682321248474,1.275231995573474
Henry Sims,Brooklyn Nets,-0.4767229987887959,C,0.42386445077857243,6-10,-0.6144888745164709,Georgetown,-0.7482336279982287,1.275231995573474
Donald Sloan,Brooklyn Nets,-0.7334481083138059,PG,-0.41030280000058583,6-3,0.5793123530704564,Texas A&M,-0.7482336279982287,0.5235508450295214
Thaddeus Young,Brooklyn Nets,0.9675945471292936,PF,0.45746694983460306,6-8,-0.007587812904639486,Georgia Tech,1.2343107089688903,-0.2281303055144311
Arron Afflalo,New York Knicks,0.7067496604984849,SG,-0.7170002575550631,6-5,0.6624825575592158,UCLA,0.6107686332631137,-0.9798114560583836
Lou Amundson,New York Knicks,-0.4313966447195928,PF,0.21144240917157614,6-9,1.3775178116299431,UNLV,-0.6156231137912278,-0.9798114560583836
Thanasis Antetokounmpo,New York Knicks,-1.3376485184302869,SF,0.5454358533721327,6-7,-0.21164535132187554,,-0.9248141044485703,1.275231995573474
Carmelo Anthony,New York Knicks,3.5106351005142447,SF,0.061537540043821295,6-8,0.25686015687364017,Syracuse,3.4770595353688063,-0.2281303055144311
Jose Calderon,New York Knicks,0.6325343631029395,PG,-0.8103208183513494,6-3,1.6921474497959519,,0.49569538746501657,-0.9798114560583836
Cleanthony Early,New York Knicks,-0.7331514496598374,SF,-0.5889929990619147,6-8,-0.17902284430057708,Wichita State,-0.7679300083101976,0.5235508450295214
Langston Galloway,New York Knicks,-0.7123549883717396,SG,-1.2262559906636639,6-2,-0.2945677788741336,Saint Joseph's,-0.7679300083101976,0.5235508450295214
Jerian Grant,New York Knicks,-0.7727962901191195,PG,-0.9292039330834999,6-4,-0.33611858868990796,Notre Dame,-0.6277850510401222,0.5235508450295214
Robin Lopez,New York Knicks,1.7284184228766777,C,0.3379340719634461,7-0,-0.6240262950724499,Stanford,1.5067856211482544,-0.2281303055144311
Kyle O'Quinn,New York Knicks,0.08645076339002168,PF,0.2430461079550442,6-10,-0.7558926315942491,Norfolk State,-0.2081716244813699,1.275231995573474
Kristaps Porzingis,New York Knicks,-0.004497096192454168,PF,-0.3574169966979907,7-3,-1.887061841779048,,-0.13461730090814064,1.275231995573474
Kevin Seraphin,New York Knicks,0.2065403551808957,C,0.5427449025346763,6-10,-1.3019838739928273,,-0.38853117301050794,1.275231995573474
Lance Thomas,New York Knicks,-0.7389734877767621,SF,1.371553924088114,6-8,0.2743703757458016,Duke,-0.6153598967577975,-1.7314926066023362
Sasha Vujacic,New York Knicks,-0.7517034719739929,SG,-0.34205221528933927,6-7,1.6315621874639326,,-0.7482336279982287,-0.9798114560583836
Derrick Williams,New York Knicks,-0.12695399323091042,PF,0.5558666351819946,6-8,-0.6717860484162772,Arizona,-0.1599986681434591,1.275231995573474
Tony Wroten,New York Knicks,-0.8547411781606838,SG,-1.0279006968407653,6-6,-0.5535505136247298,Washington,-0.8985082018352146,0.5235508450295214
Elton Brand,Philadelphia 76ers,-0.6100098318462414,PF,2.17861205637283,6-9,1.8713501346216865,Duke,-0.8233709149167217,-1.7314926066023362
Isaiah Canaan,Philadelphia 76ers,-0.6424859554956946,PG,-1.24559503906947,6-0,-0.12017968470443371,Murray State,-0.7482336279982287,0.5235508450295214
Robert Covington,Philadelphia 76ers,-0.9384980420829576,SF,0.43186580763225796,6-9,-0.07464534032499376,Tennessee State,-0.7380741441983887,1.275231995573474
Joel Embiid,Philadelphia 76ers,0.009885818800932063,C,0.5666419332914989,7-0,-1.5167058609731445,Kansas,-0.039188601320992875,1.275231995573474
Jerami Grant,Philadelphia 76ers,-1.1349624090334423,SF,0.44426928008032857,6-8,-0.5657594731792692,Syracuse,-0.7679300083101976,1.275231995573474
Richaun Holmes,Philadelphia 76ers,-0.6559681377862465,PF,0.5199838712166758,6-10,-1.341472665361622,Bowling Green,-0.7237823842038826,1.275231995573474
Carl Landry,Philadelphia 76ers,0.7045772232169174,PF,0.3482411106044936,6-9,0.47429031956647727,Purdue,0.3217308952356489,-0.9798114560583836
Kendall Marshall,Philadelphia 76ers,-0.5216371333544718,PG,-1.1107093278767355,6-4,-0.29630061582047085,North Carolina,-0.5174859379069374,0.5235508450295214
T.J. McConnell,Philadelphia 76ers,-0.8890358849651008,PG,-0.8103421661628949,6-2,-0.19836670635294368,Arizona,-0.8295848409006614,0.5235508450295214
Nerlens Noel,Philadelphia 76ers,-0.13574702336773167,PF,-0.6198029518313731,6-11,-1.2535660895791163,Kentucky,-0.26447617584912003,0.5235508450295214
Jahlil Okafor,Philadelphia 76ers,0.2837032740843675,C,0.5030478563981851,6-11,-2.498181507673287,Duke,-0.04772099534756363,1.275231995573474
Ish Smith,Philadelphia 76ers,-0.7857415239063578,PG,-1.7005716430185238,6-0,0.7729292610988872,Wake Forest,-0.7482336279982287,0.5235508450295214
Nik Stauskas,Philadelphia 76ers,-0.4765711397041868,SG,-0.8392768444057513,6-6,-0.7714192452768985,Michigan,-0.37784833821301284,0.5235508450295214
Hollis Thompson,Philadelphia 76ers,-0.9836155066360895,SG,0.14870671190016554,6-8,0.06786286364849091,Georgetown,-0.7482336279982287,0.5235508450295214
Christian Wood,Philadelphia 76ers,-1.1181329770989787,PF,0.42033645284122384,6-11,-1.1956066818262236,UNLV,-0.8295848409006614,1.275231995573474
Bismack Biyombo,Toronto Raptors,-0.16183946374839975,C,-0.0290454537807577,6-9,-1.2923176092939925,,-0.38853117301050794,1.275231995573474
Bruno Caboclo,Toronto Raptors,-0.8626096959761591,SF,-0.5415452811861594,6-9,-1.0859668902975033,,-0.6371036277141277,0.5235508450295214
DeMarre Carroll,Toronto Raptors,1.6647249263236368,SF,-0.7098244264716843,6-8,0.3011224083179036,Missouri,1.6898428552323155,-0.2281303055144311
DeMar DeRozan,Toronto Raptors,0.9742559736661769,SG,-0.42638554234356457,6-7,-0.3544335175579285,USC,1.0057868752339822,-0.2281303055144311
James Johnson,Toronto Raptors,0.004206407623183551,PF,0.12840453624360754,6-9,-0.1455439365666866,Wake Forest,-0.4490364061709239,1.275231995573474
Cory Joseph,Toronto Raptors,0.24737090875871282,PG,-1.3244824364563446,6-3,-0.21692839458054283,Texas,0.4180768079114705,0.5235508450295214
Kyle Lowry,Toronto Raptors,1.335626945276794,PG,-0.7308328074539544,6-0,0.6899995871082998,Villanova,1.3815359346696865,-0.2281303055144311
Lucas Nogueira,Toronto Raptors,-1.5132223857537883,C,2.895654173495298,7-0,-0.07964173278446805,,-0.5758276272523051,-1.7314926066023362
Patrick Patterson,Toronto Raptors,-0.09630016553334098,PF,1.7956982428934856,6-9,0.06771388378156323,Kentucky,0.27715645873618,-1.7314926066023362
Norman Powell,Toronto Raptors,-0.9332563320762323,SG,-0.021820983967860558,6-4,-0.5715501878195499,UCLA,-0.8055162830714637,1.275231995573474
Terrence Ross,Toronto Raptors,-0.6018569167323545,SF,-0.11388536697656151,6-7,0.20529209476308646,Washington,-0.24595521567179612,0.5235508450295214
Luis Scola,Toronto Raptors,0.14351204862817066,PF,0.23662418247135913,6-9,1.5165623837722315,,-0.3719596760302666,-0.9798114560583836
Jason Thompson,Toronto Raptors,-0.36537657594773276,PF,0.06055228489593442,6-11,-0.11395677434790093,Rider,-0.883522365885792,1.275231995573474
Jonas Valanciunas,Toronto Raptors,0.1398027165991325,C,0.5960097926252267,7-0,-1.217246704626852,,-0.03272918595155509,1.275231995573474
Delon Wright,Toronto Raptors,-1.303378623860857,PG,0.7394303646622274,6-5,0.34044296388476486,Utah,-0.6399246360372757,-1.7314926066023362
Leandro Barbosa,Golden State Warriors,-0.4781338072770752,SG,-0.2914522176777769,6-3,1.836287672637708,,-0.4490364061709239,-0.9798114560583836
Harrison Barnes,Golden State Warriors,-0.4757378205970544,SF,0.8837898753716877,6-8,-0.46422934766752383,North Carolina,-0.1843938386166278,1.275231995573474
Andrew Bogut,Golden State Warriors,1.9778357996119267,C,0.7327503289066001,7-0,-0.0655358284042585,Utah,1.728381220302644,-0.2281303055144311
Ian Clark,Golden State Warriors,-1.0697231503956768,SG,-0.9565570014339204,6-3,0.5269965173199682,Belmont,-0.7482336279982287,0.5235508450295214
Stephen Curry,Golden State Warriors,0.8054075370526586,PG,-0.19309866734618183,6-3,0.7499319117109099,Davidson,1.2602915404728776,-0.9798114560583836
Festus Ezeli,Golden State Warriors,-0.38326837691298166,C,1.4994946385025747,6-11,-0.7868292684388165,Vanderbilt,-0.5436966507585693,1.275231995573474
Draymond Green,Golden State Warriors,1.6192688394221282,PF,0.3067661703197537,6-7,-0.5076678138753551,Michigan State,1.817187101852456,-0.2281303055144311
Andre Iguodala,Golden State Warriors,1.370017969650459,SF,-0.3395233340606104,6-6,0.9616138337118825,Arizona,1.3257431727900701,-0.2281303055144311
Shaun Livingston,Golden State Warriors,-0.20473942675266274,PG,0.139138314236442,6-7,1.302265728708931,,0.1374645199475063,-0.9798114560583836
Kevon Looney,Golden State Warriors,-1.0242406446288557,SF,0.4577040822064352,6-9,-1.1999901686803676,UCLA,-0.7126465309249859,1.275231995573474
James Michael McAdoo,Golden State Warriors,-0.6840045674947255,SF,0.3690033497263531,6-9,-1.053695349177882,North Carolina,-0.7679300083101976,1.275231995573474
Brandon Rush,Golden State Warriors,-0.4015495176752564,SF,-0.44945890031717417,6-6,0.6331020960898598,Kansas,-0.685861596433806,-0.9798114560583836
Marreese Speights,Golden State Warriors,0.22186445106291683,C,0.27220585510394035,6-10,-0.4571234584232026,Florida,-0.19564665583351307,1.275231995573474
