Name,Team,x,Position,y,Height,z,College,Salary,cluster
Avery Bradley,Boston Celtics,0.5513960215899308,PG,-1.7607755229378963,6-2,0.10269434088079976,Texas,7730337.0,3
Jae Crowder,Boston Celtics,-0.8098835820987925,SF,3.574626382434211,6-6,0.033225062595265906,Marquette,6796117.0,0
John Holland,Boston Celtics,-0.5593051152067081,SG,0.14876620420649972,6-5,0.4351061853517439,Boston University,3972378.5,1
R.J. Hunter,Boston Celtics,-1.5313073975653313,SG,-0.5711732555005752,6-5,-0.22857529136557445,Georgia State,1148640.0,3
Jonas Jerebko,Boston Celtics,0.3479169016853291,PF,-0.10514079578271827,6-10,0.18051602672131947,,5000000.0,1
Amir Johnson,Boston Celtics,0.7483518244514522,PF,3.446354028411989,6-9,0.5996851383930852,,12000000.0,0
Jordan Mickey,Boston Celtics,-1.5446617168694659,PF,1.6218058058871572,6-8,-1.085737386923055,LSU,1170960.0,4
Kelly Olynyk,Boston Celtics,-0.93059242752784,C,1.2696106910498446,7-0,-0.43613040937883807,Gonzaga,2165160.0,4
Terry Rozier,Boston Celtics,-1.0583535188381283,PG,-1.1267983934435466,6-2,-0.474794718157891,Louisville,1824360.0,3
Marcus Smart,Boston Celtics,-0.7964417774488896,PG,0.5266615145806451,6-4,-0.8269803715039664,Oklahoma State,3431040.0,4
Jared Sullinger,Boston Celtics,-0.09769212903595505,C,0.3079001643619687,6-9,-1.3505097210244128,Ohio State,2569260.0,4
Isaiah Thomas,Boston Celtics,0.3931348733821134,PG,-1.3943424802961322,5-9,0.49258273151710513,Washington,6912869.0,1
Evan Turner,Boston Celtics,-0.2379868565918788,SG,-0.2997451718691165,6-7,0.011857880810916823,Ohio State,3425510.0,3
James Young,Boston Celtics,-0.9219452926770572,SG,-0.6103106009475977,6-6,-1.3316809020465972,Kentucky,1749840.0,3
Tyler Zeller,Boston Celtics,-0.7056038446012545,C,1.7676782240826678,7-0,-0.47248020116658074,North Carolina,2616975.0,0
Bojan Bogdanovic,Brooklyn Nets,-0.8216814794019476,SG,0.9779639139807154,6-8,0.37732717587731185,,3425510.0,0
Markel Brown,Brooklyn Nets,-1.400654456237703,SG,-0.6223923188727198,6-3,0.060751524910223516,Oklahoma State,845059.0,3
Wayne Ellington,Brooklyn Nets,-1.0192727701832538,SG,-0.27750778651830704,6-4,0.709923794611113,North Carolina,1500000.0,1
Rondae Hollis-Jefferson,Brooklyn Nets,-1.1287236723092724,SG,0.0015932758539022856,6-7,-1.1005244765671074,Arizona,1335480.0,4
Jarrett Jack,Brooklyn Nets,0.5621623988344783,PG,-0.9290065242468096,6-3,1.2844970009619092,Georgia Tech,6300000.0,1
Sergey Karasev,Brooklyn Nets,-0.9141334707777927,SG,-0.8062275571970503,6-7,-0.8064531904823877,,1599840.0,3
Sean Kilpatrick,Brooklyn Nets,-0.9819956888816707,SG,-0.5492534306277594,6-4,-0.15524091939100332,Cincinnati,134215.0,3
Shane Larkin,Brooklyn Nets,-1.045466498196994,PG,-1.9148617226248532,5-11,-0.09682646476613824,Miami (FL),1500000.0,3
Brook Lopez,Brooklyn Nets,4.191936396165942,C,0.8625851244020398,7-0,-1.106525927338664,Stanford,19689000.0,2
Chris McCullough,Brooklyn Nets,-0.9774082328571723,PF,-1.39648604552675,6-11,-0.9474534831314716,Syracuse,1140240.0,3
Willie Reed,Brooklyn Nets,-1.225601552209348,PF,0.5861724167522319,6-10,0.050280298010602895,Saint Louis,947276.0,4
Thomas Robinson,Brooklyn Nets,-1.2234197520325165,PF,1.2551161260610184,6-10,-0.39244630142068976,Kansas,981348.0,4
Henry Sims,Brooklyn Nets,-0.6541719858002503,C,0.42432794402889085,6-10,-0.6151608144378561,Georgetown,947276.0,4
Donald Sloan,Brooklyn Nets,-1.0064570132259283,PG,-0.41075146366661797,6-3,0.5799458276753235,Texas A&M,947276.0,3
Thaddeus Young,Brooklyn Nets,1.3277589878257414,PF,0.45796718721733853,6-8,-0.007596110132820627,Georgia Tech,11235955.0,2
Arron Afflalo,New York Knicks,0.9698206926173004,SG,-0.7177842930627422,6-5,0.6632069782869233,UCLA,8000000.0,1
Lou Amundson,New York Knicks,-0.5919739564920978,PF,0.21167362018562105,6-9,1.3790241191457326,UNLV,1635476.0,1
Thanasis Antetokounmpo,New York Knicks,-1.8355568953617456,SF,0.5460322842265137,6-7,-0.211876784251952,,30888.0,4
Carmelo Anthony,New York Knicks,4.817386912228492,SF,0.061604830977040975,6-8,0.2571410319240672,Syracuse,22875000.0,2
Jose Calderon,New York Knicks,0.8679804864654066,PG,-0.8112068993359859,6-3,1.6939978029456044,,7402812.0,1
Cleanthony Early,New York Knicks,-1.0060499303260801,SF,-0.5896370593954683,6-8,-0.17921860471368486,Wichita State,845059.0,3
Langston Galloway,New York Knicks,-0.9775124726976088,SG,-1.2275968942798814,6-2,-0.29488988698444735,Saint Joseph's,845059.0,3
Jerian Grant,New York Knicks,-1.0604516354585662,PG,-0.9302200120454472,6-4,-0.3364861323630755,Notre Dame,1572360.0,3
Robin Lopez,New York Knicks,2.3717817576657403,C,0.3383036008567514,7-0,-0.6247086641063615,Stanford,12650000.0,2
Kyle O'Quinn,New York Knicks,0.11863003820768721,PF,0.2433118774253227,6-10,-0.756719195681107,Norfolk State,3750000.0,4
Kristaps Porzingis,New York Knicks,-0.006171035074932188,PF,-0.35780783005335776,7-3,-1.8891253326544712,,4131720.0,4
Kevin Seraphin,New York Knicks,0.2834201719653871,C,0.5433383908503571,6-10,-1.30340758559806,,2814000.0,4
Lance Thomas,New York Knicks,-1.0140390859699862,SF,1.3730537101284268,6-8,0.2746703981161889,Duke,1636842.0,0
Sasha Vujacic,New York Knicks,-1.0315075090640389,SG,-0.3424262473478236,6-7,1.6333462909903667,,947276.0,1
Derrick Williams,New York Knicks,-0.17420964809363013,PF,0.556474472034108,6-8,-0.6725206424557798,Arizona,4000000.0,4
Tony Wroten,New York Knicks,-1.1728985915998171,SG,-1.029024700125561,6-6,-0.5541558178117265,Washington,167406.0,3
Elton Brand,Philadelphia 76ers,-0.8370717252375008,PF,2.180994355670014,6-9,1.873396444838989,Duke,557341.0,0
Isaiah Canaan,Philadelphia 76ers,-0.8816363263849893,PG,-1.2469570898198412,6-0,-0.12031110047328052,Murray State,947276.0,3
Robert Covington,Philadelphia 76ers,-1.2878319892660572,SF,0.4323380503186006,6-9,-0.07472696455968679,Tennessee State,1000000.0,4
Joel Embiid,Philadelphia 76ers,0.013565583646473726,C,0.5672615528678647,7-0,-1.5183643697912066,Kansas,4626960.0,4
