Name,Team,x,Position,y,Height,z,College,Salary
Avery Bradley,Boston Celtics,-1.133439363788221,PG,-1.5958590193920439,6-2,-0.040142813627218964,Texas,7730337.0
Jae Crowder,Boston Celtics,1.524314853114827,SF,3.8785374914134296,6-6,0.6688152823760042,Marquette,6796117.0
John Holland,Boston Celtics,-0.24854950520580749,SG,0.4019288783426254,6-5,0.5961405672555119,Boston University,3972378.5
R.J. Hunter,Boston Celtics,-1.6520064878631393,SG,0.569963821576357,6-5,0.30488991620673966,Georgia State,1148640.0
Jonas Jerebko,Boston Celtics,0.33726875595775446,PF,-0.4425992769543821,6-10,-0.01197950887089473,,5000000.0
Amir Johnson,Boston Celtics,2.5454243504190206,PF,2.8117174217525878,6-9,0.7224201370278757,,12000000.0
Jordan Mickey,Boston Celtics,-0.2632126000026766,PF,2.611424776593858,6-8,-0.35493151812348733,LSU,1170960.0
Kelly Olynyk,Boston Celtics,0.20002043686079626,C,1.6846684076738507,7-0,-0.051512964706730585,Gonzaga,2165160.0
Terry Rozier,Boston Celtics,-1.7240850627413538,PG,-0.15942267921188039,6-2,-0.11108733655626242,Louisville,1824360.0
Marcus Smart,Boston Celtics,-0.5262619155344089,PG,1.2396272416146314,6-4,-0.38583062007267577,Oklahoma State,3431040.0
Jared Sullinger,Boston Celtics,0.05967555568940951,C,0.4585065467354583,6-9,-1.2465773330272225,Ohio State,2569260.0
Isaiah Thomas,Boston Celtics,-0.7888324126039646,PG,-1.3743587400993236,5-9,0.32548890869849395,Washington,6912869.0
Evan Turner,Boston Celtics,-0.27600487859788686,SG,-0.20187494495116556,6-7,0.024893619469143802,Ohio State,3425510.0
James Young,Boston Celtics,-1.427746658274505,SG,0.37832405567029753,6-6,-0.8994482013010655,Kentucky,1749840.0
Tyler Zeller,Boston Celtics,0.7499238018449171,C,1.944487226379784,7-0,-0.15028862922592562,North Carolina,2616975.0
Bojan Bogdanovic,Brooklyn Nets,0.15469277204878706,SG,1.2631794205869389,6-8,0.6643355079305104,,3425510.0
Markel Brown,Brooklyn Nets,-1.4111783284104866,SG,0.2806939459721776,6-3,0.4635561973827066,Oklahoma State,845059.0
Wayne Ellington,Brooklyn Nets,-0.6262158302748176,SG,0.09012151434929586,6-4,0.8795852850315883,North Carolina,1500000.0
Rondae Hollis-Jefferson,Brooklyn Nets,-1.060186320218265,SG,0.9422477264133706,6-7,-0.6101925498615408,Arizona,1335480.0
Jarrett Jack,Brooklyn Nets,0.08698631175339906,PG,-1.4740464662754813,6-3,0.8861670007079272,Georgia Tech,6300000.0
