Airport.Code,Airport.Name,Time.Label,x,Time.Month Name,y,z,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/06,6.070906110010403,June,1.734418625105073,-0.1578549742044633,0.8649384460077472,2.4540628550946817,1.901842500145524,3.322391412330112,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",-0.5473706690995482,0.0084532640529332,2.011165929542479,-0.0242295277044612,2.757914258941595,2.6468894368018048,1.0927710893151057,0.4883797862786989,1.2796331774235448,1.1907476015616252,1.1649014046729198,2.0373888074895894
BOS,"Boston, MA: Logan International",2003/06,-1.5061058426580043,June,0.7971645472103617,-1.5304834718985765,-0.5234599043669956,-0.2924156928630852,-0.4287539050448208,-0.1624979767718649,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0.7627523586239672,-0.2615611413480079,-0.4553035100846727,-0.6843609196463528,-0.2584533375204376,-0.3291987304023082,-0.6043463652044647,-0.547645564310969,-0.3587487069317242,-0.4384945246389202,-0.5161828563692392,-0.326825137769649
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/06,-1.8274816425632758,June,1.2382276437864146,-0.8165285349491495,-0.5554998662987205,-0.6134890144252887,0.4036019539517309,-0.0028847223091789,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",-0.5473706690995482,-0.6388889642800925,-0.6762337110749721,-0.354295223675407,-0.42277126919925,-0.5262346836886292,-0.8790946652991388,-0.5832326454264762,-0.4774923993264617,0.257530154573246,-0.6274994010951058,-0.0117304099210069
CLT,"Charlotte, NC: Charlotte Douglas International",2003/06,-1.9647113737840505,June,0.33602819850284593,-1.2208256694198607,-0.5643998557241996,-0.2381803344910913,-0.5952250768441312,-0.3221112312345509,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",-0.5473706690995482,-0.4865731458487923,-0.4909562673873401,-0.3818006983396525,-0.4184619049705013,-0.4704175460342942,-0.8327278067553339,-0.6717745419509905,-0.3690893323945038,-0.3296191558236092,-0.6153473230273732,-0.3836379059461803
DCA,"Washington, DC: Ronald Reagan Washington National",2003/06,-2.351796317939296,June,0.8368353106611639,-1.6113864251718173,-0.9275194242837476,-0.5071877120161807,-0.2622827332455105,-0.2689068130803222,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0.3260446827161287,-0.4831114227026263,-0.760982068597706,-0.2717787996826706,-0.7369801305736726,-0.7847715040510059,-0.8733399133522126,-0.92124539992315,-0.4177562022319145,-0.356837998027437,-0.7304454891591552,-0.3297584056918069
DEN,"Denver, CO: Denver International",2003/06,-0.7493094218920114,June,2.7097728893210284,-0.3808882301636083,-0.8296195406034774,-0.3151945433793226,0.9030154693496618,0.2631373684619643,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0.3260446827161287,-0.6215803485492629,-0.4623171672589679,-0.1617569010256886,0.1441911723743948,-0.0301471208286909,-0.344765947027046,-0.7855809434878918,-0.3737044437587645,1.921767935035856,-0.5314409529467029,-0.1074475736966846
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/06,6.201108857471318,June,2.1489464749154643,0.18365871985289012,1.069638202793767,1.293426185934014,2.2347848437441447,2.3913140946311104,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0.3260446827161287,0.6246399840704658,1.400393283947604,2.8913507867055595,2.4448295795398893,2.292457899529369,1.4755443045277934,0.807837710230014,0.7893730202058215,1.832334596366136,1.1188989892872716,2.2161637682190003
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/06,-1.622720429339903,June,0.8081372009801314,-0.7333944072688783,-0.7441796421188778,-0.417157017118671,0.0706596103531101,-0.0959924540790791,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",-0.5473706690995482,-0.3134869885404966,-0.5885629963962818,-0.5193280716608799,0.1822259957846559,-0.0209657117628342,-0.5433870999380971,-0.7921357793133731,-0.4961263452107324,-0.2829582834741903,-0.6609549055516148,-0.4242405092897339
EWR,"Newark, NJ: Newark Liberty International",2003/06,0.49863118421083763,June,1.6570967229497526,-1.6783053377102812,-0.4807399551246958,1.0775694596134786,0.7365442975503516,0.5690627728487792,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",0.3260446827161287,-0.3861831746099808,0.3033404076015934,0.388352592259221,0.034958157358719,0.0886282504200898,-0.6096489580698466,-0.4775552725707823,0.7975969404564214,1.0818722327463144,0.1273596114689743,0.2474778448844169
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/06,-2.9407568728532776,June,0.7735894079865908,-1.2414967604089497,-0.9488793989048976,-0.5722701420625733,-0.0958115614462001,-0.5881333220056942,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",-0.5473706690995482,-0.694276534618747,-0.8387167689461447,-0.4918225969966344,-1.0459428094087488,-1.0545300466049854,-0.9238173090009648,-0.8983292809742232,-0.5229668613028801,-0.2751814714159538,-0.8045336820861843,-0.6479407839848258
IAD,"Washington, DC: Washington Dulles International",2003/06,-1.8165880676114192,June,0.7672571554410997,-1.5049259346043231,-0.8794594813861605,-0.4139028956163513,-0.4287539050448208,-0.1624979767718649,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",0.3260446827161287,-0.3896448977561467,-0.6698045253318682,0.1958142696095025,-0.4173377229977842,-0.5069974456458819,-0.7508870129958342,-0.8086777075186234,-0.3343371968207663,-0.1157568242221056,-0.6182954083925415,-0.2416059855048521
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/06,1.5174945126212567,June,1.7600798933408632,-0.6942332778784801,-0.1051604013694769,0.4885734676936258,1.5689001565469032,0.5956649819258935,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",-0.1106629931917097,-0.4242621292178059,0.1163095496203876,3.991569773275379,0.6429532409365373,0.532396355269829,-0.5442092073590865,-0.1543812212223438,0.1966955607955008,1.420163557279602,-0.0159296209672303,0.880600568503859
JFK,"New York, NY: John F. Kennedy International",2003/06,-2.135225446858107,June,3.3632313500654636,-0.018837682141090856,-1.0022793354577724,-0.6080654785880892,2.567727187342765,-0.6679399492370373,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.",-0.5473706690995482,-0.656197580010922,-0.7925435258820345,-0.409306173003898,-0.8542697830604874,-0.8918879431526672,-0.5340561807098668,-0.97592924682943,-0.5374020968482368,1.739012851667298,-0.7516085305305424,-0.6678561293510555
LAS,"Las Vegas, NV: McCarran International",2003/06,-0.6453753078682518,June,3.367975762107439,0.2938251597095618,-0.1977202913944598,-0.3585828300769176,1.901842500145524,-0.1891001858489792,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",-0.1106629931917097,-0.6042717328184334,-0.2974962236630303,-0.6018444956536164,0.1061563489641338,-0.0202370285036392,-0.4409936206538611,-0.4739939838152058,-0.4427055636672787,2.318385350005917,-0.4954234219228452,-0.3780801351463023
LAX,"Los Angeles, CA: Los Angeles International",2003/06,2.138902148293464,June,8.813797075400453,3.0454339022684196,-0.0428604753911231,-0.1221166675750246,5.231265936131731,0.2498362639234071,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",-0.1106629931917097,-0.3896448977561467,0.0987754066846495,-0.4918225969966344,1.222656411534309,0.9566357487731428,0.2083068204436062,-0.2517489203150259,-0.3281779316541778,9.126984306991966,-0.1891998286795669,-0.0475471550757766
LGA,"New York, NY: LaGuardia",2003/06,-1.5124677836604792,June,0.5411328082461315,-1.4064606385851857,-0.80291957232704,-0.0949989883890277,-0.2622827332455105,0.2099329503077356,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",-0.5473706690995482,-0.3204104348328284,-0.4664084672773068,-0.1617569010256886,-0.3922309922737695,-0.4357322228966134,-0.7249906292346665,-0.7859680400917588,-0.0706165474344409,-0.0807611699600414,-0.466240886433113,-0.147278264429144
